Symbol,Q3 2019 Shareholder's Equity,Q4 2019 Shareholder's Equity,Q1 2020 Shareholder's Equity,Q2 2020 Shareholder's Equity,Q3 2020 Shareholder's Equity
MMM,10702,10063,10147,10857,11880
ABT,31817,31088,30218,30578,31386
ABBV,-8226,-8172,-7415,14708,15270
ABMD,991.457,1046.863,1065.466,1101.848,1182.409
ACN,15167.138,15474.589,16014.606,17000.536,
ATVI,12235,12805,13021,13682,14382
ADBE,10530.155,10465,10881,11713,
AMD,2176,2827,3037,3305,3867
AAP,3454.942,3549.081,3537.029,3726.519,3762.664
AES,4026,3884,3412,3337,2871
AFL,29438,28959,26402,29420,32479
A,4748,4848,4768,4981,
APD,11053.6,11556,11371.9,11659.3,12079.8
AKAM,3501.6,3657.958,3672.218,3904.295,4107.617
ALK,4252,4331,4015,3861,3454
ALB,3836.559,3932.25,3878.004,4024.472,4124.881
ARE,7790.232,8865.826,9322.586,9431.44,10701.814
ALXN,10367.2,11271.8,11747.8,10490.8,11074.9
ALGN,1305.549,1346.169,2852.989,2845.045,3033.471
ALLE,685,757.4,611.3,677.5,824.3
LNT,5169.2,5405.1,5702.4,5748.3,5909
ALL,26140,25998,24173,26986,27263
GOOGL,194969,201442,203659,207322,212920
GOOG,194969,201442,203659,207322,212920
MO,10545,6222,6543,5688,3139
AMZN,56508,62060,65272,73728,82775
AMCR,5424.2,5339.7,4739.6,4625.9,4687
AEE,8062,8059,8085,8227,8489
AAL,160,-118,-2636,-3169,-5528
AEP,19716.4,19632.2,19728.4,20007.4,20365.9
AXP,23025,23071,21006,21062,21869
AIG,65603,65675,60173,62234,64108
AMT,5240.4,5055.4,3634.4,3620.3,3731.7
AWK,6190,6121,6243,6338,6512
AMP,5997,5729,6693,6500,6067
ABC,2878.917,2954.626,3590.59,3857.252,-839.636
AME,4865.965,5115.492,5326.003,5486.44,5704.192
AMGN,10927,9673,9485,10659,10959
APH,4155.3,4530.3,4385.8,4738.6,5040.2
ADI,11709.188,11689.517,11590.858,11777.56,
ANSS,2923.324,3453.379,3292.35,3438.048,3589.613
ANTM,31332,31728,31693,34455,33921
AON,3492,3375,3169,3601,3542
AOS,1656.2,1666.8,1616.3,1658.1,1747.1
APA,6301,3255,-1246,-1635,-1641
AIV,1705.459,1780.649,1717.455,1698.012,2121.391
AAPL,90488,89531,78425,72282,65339
AMAT,8214,8660,9024,9569,
APTV,3565,3819,4971,6942,7363
ADM,18873,19208,18952,19293,19322
ANET,2656.004,2894.686,2848.826,3036.483,3083.877
AJG,4843.3,5155.5,5029.5,5488.6,5771.7
AIZ,5658.6,5652.8,5370,5967.8,5936.4
T,183049,184221,177779,175896,175553
ATO,5750.223,6127.775,6304.415,6461.471,6791.203
ADSK,-171.5,-139.1,-139.1,67.3,
ADP,5360.7,5364.4,5490.7,5752.2,5808.9
AZO,-1776.09,-1711.119,-1632.736,-877.977,
AVB,10814.425,10989.549,10911.928,10870.19,10669.644
AVY,1057.4,1204,1173.4,1213.9,1334.6
BKR,21876,21929,11470,11254,11582
BLL,3365,2949,2630,2762,2886
BAC,268387,264810,264918,265637,268850
BK,41120,38845,41145,43697,44917
BAX,7588,7882,7699,8128,8567
BDX,21081,21202,20951,24022,23775
BRK.B,397609,424791,371565,393495,415155
BBY,3125,3479,3410,3778,
BIO,5131.192,5755.057,6293.079,7353.402,8825.145
BIIB,13995.9,13343.2,12546.9,11308.7,10758.5
BLK,32407,33547,33013,32730,33873
BA,-4116,-8617,-9665,-11667,-11821
BKNG,5951,5933,3831,3999,4913
BWA,4457,4706,4724,4611,4757
BXP,5671.954,5684.687,6047.866,6182.067,6129.568
BSX,9699,13877,13804,15616,15564
BMY,17648,51598,49911,49094,50158
AVGO,24970,24396,23970,23585,
BR,1143.4,1125.4,1202.5,1346.5,1413.8
BF.B,1942,2005,1975,2150,
CHRW,1673.096,1670.73,1587.118,1704.328,1873.359
COG,2213.576,2151.487,2168.395,2165.979,2118.488
CDNS,1480.262,2102.894,2157.994,2256.631,2395.718
CPB,1239,2494,2575,2563,
COF,58235,58011,56830,56045,58424
CAH,900,999,1203,1789,1422
KMX,3698.053,3768.875,3578.31,3982.56,
CCL,25365,24290,20840,19503,
CARR,#N/A,#N/A,2697,4028,5096
CTLT,2255.9,2322.7,2794.3,3505.4,3678.7
CAT,14952,14588,14197,13734,14949
CBOE,3328.7,3355.6,3310.1,3286.3,3344.5
CBRE,5511.829,6232.693,6129.343,6243.994,6553.096
CDW,935.1,960.3,889.7,1055.6,1238.5
CE,2747,2507,2448,2487,2508
CNC,12311,12551,23549,25056,25725
CNP,8346,8359,6970,8392,8388
CERN,4411.267,4228.328,3863.079,4018.016,4406.287
CF,2980,2897,2728,2873,2826
SCHW,21354,21745,26270,30815,31331
CHTR,32974,31445,29628,29356,26906
CVX,155841,144213,143930,134118,131774
CMG,1622.447,1683.026,1672.02,1704.496,1805.586
CB,54572,55331,52197,54760,56413
CHD,2559.3,2667.8,2817.8,2998.8,3210.3
CI,44696,45338,45079,47366,48032
CINF,9371,9864,8042,9258,9745
CTAS,3104.97,3324.309,3235.202,3604.804,
CSCO,34423,35533,35708,37920,
C,196373,193242,192331,191622,193876
CFG,21851,22201,21950,22418,22469
CTXS,712.911,837.656,-218.929,-93.596,68.8
CLX,550,555,695,908,1115
CME,26783.2,26128.9,26567.7,26807.9,26979.6
CMS,4957,5018,5185,5214,5320
KO,18713,18981,18158,17484,18607
CTSH,10702,11022,10613,10972,11140
CL,-324,117,-113,268,653
CMCSA,78144,82726,81506,83614,86176
CMA,7200,7327,7402,7802,7874
CAG,7612.1,7785,7876.1,8121.4,
CXO,18511,17782,8379,7920,7787
COP,35146,34981,31315,31493,30783
ED,17959,18022,18261,18225,18494
STZ,11709.4,12131.8,11066,11688,
COO,3628.4,3730.7,3627.3,3760.2,
CPRT,1926.599,2124.729,2281.011,2489.516,
GLW,13034,12907,12198,12049,12660
CTVA,25015,24309,23825,24561,24106
COST,15861,16614,16802,18284,
CCI,11325,10489,10121,9826,9502
CSX,11864,11848,11871,12150,12713
CMI,7810,7507,7068,7192,7700
CVS,62614,63864,65140,68022,68807
DHI,10020.9,10227.4,10458,11048,11840
DHR,32502.3,30270.6,31055.1,36261.7,37961
DRI,2273.7,2341.2,2331.2,2375,
DVA,2318.576,2133.409,1947.846,2153.915,1574.757
DE,11413,11926,11864,12888,
DAL,15068,15358,14309,8690,3357
XRAY,5057.3,5092.5,4687.5,4643.1,4760.5
DVN,6542,5802,3919,3227,3023
DXCM,764.3,882.6,934.5,1353.9,1499.3
FANG,14050,13249,12826,10714,9552
DLR,9437.29,9879.312,16460.236,16984.527,17669.845
DFS,11717,11859,9665,9643,10252
DISCA,9518,9891,9470,9867,10087
DISCK,9518,9891,9470,9867,10087
DISH,10169.75,11564.521,11659.779,12159.505,12691.256
DG,6648.295,6702.5,7209.454,7356.071,
DLTR,6121.3,6254.8,6520.6,6813.6,
D,29286,31994,30726,28871,26336
DPZ,-3415.759,-3392.19,-3282.906,-3211.531,
DOV,3017.643,3032.66,2980.681,3089.527,3246.421
DOW,17399,13541,12906,12537,12354
DTE,10740,11672,11822,11724,12323
DUK,46438,46822,46921,45484,46006
DRE,4957.933,5018.115,4959.843,4987.82,5018.219
DD,41344,40987,39551,37005,37559
DXC,8550,8749,4785,4593,4401
EMN,6020,5958,6117,6021,6075
ETN,15848,16082,14245,14188,14476
EBAY,3270,2870,2115,2902,2920
ECL,8567.7,8685.3,8822.1,5855.2,6014.7
EIX,13160,13303,13351,14253,13748
EW,3814.8,4148.3,3901.1,3839.1,4210.3
EA,7158,7237,7461,7782,8075
EMR,8233,8421,7517,7831,8447
ETR,10254.472,10443.085,10443.352,10645.398,10991.249
EOG,21124.28,21640.716,21470.675,20387.557,20148.326
EFX,2515.8,2578.6,2386.5,2694.1,2929
EQIX,8761.111,8840.606,8669.364,10388.28,10555.814
EQR,10182.636,10315.506,10530.367,10597.673,10517.48
ESS,6225.1,6220.427,6228.165,6166.074,6082.997
EL,4530,4574,4329,3935,4452
ETSY,389.262,406.634,406.847,524.175,666.667
EVRG,8619.3,8571.9,8529.2,8547.8,8802.1
ES,12121.614,12629.994,13209.956,13805.258,13980.017
RE,8983.258,9132.925,8580.944,9286.299,9591.292
EXC,32023,32224,32482,32703,32884
EXPE,4184,3967,2270,2756,2654
EXPD,2207.385,2195.028,2034.806,2159.118,2502.029
EXR,2522.714,2539.961,2398.119,2375.69,2389.284
XOM,189915,191650,182079,180183,177400
FFIV,1761.497,1929.458,1998.194,2153.899,2232.268
FB,93999,101054,105304,110447,117731
FAST,2585.7,2665.6,2656.6,2783,2885.6
FRT,2469.928,2535.341,2502.107,2434.284,2327.859
FDX,18659,18831,18295,19462,
FIS,49195,49440,49167,49043,49031
FITB,21404,21203,21873,22335,22951
FE,7272,6975,6814,7143,7188
FRC,9431.206,9851.107,10359.765,10575.928,11344.609
FISV,32669,32979,31843,31583,31692
FLT,3900.31,3711.616,2796.229,2966.434,2937.75
FLIR,1869.65,1871.433,1704.58,1750.701,1808.866
FLS,1744.335,1790.357,1659.43,1662.572,1673.421
FMC,2649.2,2532.3,2675.4,2822.2,2944.5
F,35349,33185,29650,30824,33125
FTNT,1200.4,1321.9,536.3,543.9,713.2
FTV,7151.7,7387,7242.1,7395.3,7676.1
FBHS,2335.4,2426.6,2357,2461.8,2628.6
FOXA,10320,10334,10114,10094,10791
FOX,10320,10334,10114,10094,10791
BEN,9906.5,10081.6,9903.4,10114.2,11000
FCX,9444,9298,8855,8954,9236
GPS,3634,3316,2317,2253,
GRMN,4380.894,4793.496,4934.4,4740.861,5104.341
IT,919.657,938.593,890.275,991.219,1037.503
GD,13513,13577,13200,13890,14716
GE,27935,28316,35284,33674,33269
GIS,7712.3,7575.1,8058.5,8444.6,
GM,44554,41792,40113,39304,43341
GPC,3642.191,3674.707,3402.702,2849.275,3014.08
GILD,20604,22525,22067,18027,17445
GL,7312.531,7294.307,6520.282,7848.369,8224.908
GPN,27774.634,27855.747,27320.811,27425.859,27745.657
GS,92012,90265,92379,90029,92650
GWW,1871,1855,1810,1929,2131
HAL,9745,8012,6830,5189,5200
HBI,1230.242,1236.595,873.571,1079.32,1149.533
HIG,16078,16270,15266,17072,17802
HAS,1840.907,2995.53,2729.224,2604.007,2773.751
HCA,-3565,-2808,-2962,-1786,-974
PEAK,5933.134,6085.058,7236.508,7098.673,6840.055
HSIC,2829.528,2998.044,2974.577,2991.087,3155.273
HSY,1753.162,1739.222,1671.231,1753.605,2065.854
HES,8908,8732,7200,6395,5916
HPE,17098,17189,16210,16155,
HLT,-208,-482,-914,-1299,-1324
HFC,6020.208,5978.193,5594.161,5382.582,5336.143
HOLX,2115.7,2250.8,2086.1,2255.1,2705.2
HD,-1082,-3116,-3490,-414,
HON,18109,18494,17644,18147,18074
HRL,5921.458,6091.764,6162.062,6267.425,
HST,7499,7319,7064,6717,6402
HWM,4696,4607,4783,3449,3501
HPQ,-1193,-1634,-743,-1986,
HUM,11601,12037,12355,14416,15768
HBAN,11909,11795,11769,12314,12917
HII,1705,1588,1643,1678,1880
IEX,2163.053,2263.229,2229.787,2261.037,2396.529
IDXX,202.418,177.473,107.674,272.963,440.576
INFO,8415.8,8369,8108.4,8592.9,
ITW,2966,3026,2283,2357,2696
ILMN,4439,4613,4635,4563,4700
INCY,2422.527,2598.406,1937.721,2344.604,2390.833
IR,1790.5,1869.9,8686.2,8574.9,8771.7
INTC,74242,77504,76354,82010,74554
ICE,17161,17255,16939,16953,19021
IBM,17956,20841,19999,20551,21208
IP,7441,7713,6857,7057,7093
IPG,2469,2775.9,2532.5,2450.4,2722.6
IFF,6055.819,6217.304,5827.85,5987.805,6078.207
INTU,3633,3727,4740,5106,
ISRG,7761.4,8263.8,8506.7,8740.5,9257.8
IVZ,13573.2,13862.5,13499.3,13602,13934
IPGP,2380.111,2401.726,2355.069,2436.352,2470.213
IQV,6131,6003,5542,5591,5846
