Symbol,Q3 2019 Market Value,Q4 2019 Market Value,Q3 2020 Market Value,Q2 2020 Market Value,Q3 2020 Market Value
NOW,47587.18091,53245.5551,54392.88233,77246.46076,94623.50296
SHW,50728.80446,53865.99073,41724.4164,52468.77955,63437.93903
SPG,47762.90685,45710.01095,16834.39256,20906.99009,19784.78464
SWKS,13607.46298,20594.92953,15155.54079,21331.63917,24303.75066
SLG,6663.8512,7277.171692,3359.01965,3631.440968,3386.864764
SNA,8642.572886,9290.912179,5951.039353,7528.605013,8013.604677
SO,64563.98456,66804.35716,57075.90476,54751.30717,57263.40987
LUV,29031.29712,28408.38488,18117.25398,20145.1965,22120.20493
SWK,21913.20664,25442.15302,15402.54669,21482.23462,25900.37895
SBUX,104742.3277,103833.5178,77159.03228,85960.47293,100440.4779
STT,21522.8621,28269.50133,18875.79906,22366.8264,20906.89826
STE,12236.42458,12922.62427,11871.27621,13034.94314,14985.506
SYK,80702.61501,78601.53563,62405.11627,67540.25876,78264.97964
SIVB,10769.0742,12945.63057,7787.720988,11102.64544,12454.71634
SYF,22284.63352,23269.4086,9448.572704,12934.96531,15276.86852
SNPS,20401.4606,22205.41756,23603.66629,30040.12426,
SYY,40746.25474,43644.81717,23203.26634,27723.46418,31641.08652
TMUS,67305.57268,67094.19089,71896.66837,129020.8744,141555.8195
TROW,26913.30153,28471.20506,22788.07377,28102.28781,29104.09727
TTWO,14185.73028,13877.07326,13453.22114,15902.99138,18891.05139
TPR,7497.970931,7441.984802,3574.57539,3666.588149,4335.348386
TGT,54623.41972,56116.05424,54851.18426,62941.94629,
TEL,31302.42318,32056.08336,21044.2629,26899.09479,32257.96059
FTI,10778.07508,9585.073891,3015.792617,3066.395364,2835.285669
TDY,11713.67438,12638.31453,10893.16178,11400.54953,11435.40076
TFX,15707.66233,17427.66689,13580.20991,16897.92585,15834.98734
TER,9841.572785,11427.12154,9025.534542,14009.07899,13192.92906
TXN,120661.0533,119922.2816,93303.14209,116529.5937,130787.5984
TXT,11266.85031,10180.52947,6071.292281,7491.797056,8229.799287
TMO,116646.644,130269.9433,113107.6241,143106.5398,174660.6348
TIF,15040.6842,16080.25635,15348.88897,15212.01888,
TJX,69910.2821,71595.88916,59481.33899,62277.63115,
TSCO,10786.32339,11061.98828,9809.88456,15238.89265,16659.50494
TT,29764.70144,31677.09538,19689.54032,21284.72119,29021.69147
TDG,27790.76034,29986.88019,17190.36076,23902.66797,25754.48556
TRV,38716.79294,34990.72422,25337.33004,28835.92726,27392.7541
TFC,40897.61846,75543.99834,41479.84538,50599.64156,51276.51711
TWTR,31848.32984,24882.24109,19236.30029,23374.09947,35197.22665
TYL,10127.98247,11793.37073,11683.27764,13792.51344,14026.33012
TSN,25383.39002,26890.02898,17031.70688,17573.23693,17502.05521
UDR,14196.99681,13685.57575,10765.81745,11022.83848,9622.130616
ULTA,13720.64376,15314.09551,12270.96068,10867.59729,
USB,87206.26788,90950.8614,52407.44214,55461.56732,54003.09508
UAA,7897.0701,8455.7338,3580.60262,3879.258544,4395.22516
UA,7897.0701,8455.7338,3580.60262,3879.258544,4395.22516
UNP,114119.7711,125504.4155,95703.24527,114725.5059,133642.9925
UAL,22714.42883,22290.64559,7822.857358,10052.3642,10111.69006
UNH,205950.0484,278521.0656,236555.1389,279724.55,296286.1677
UPS,83674.50212,82030.37916,65589.06086,78283.71519,117820.9399
URI,9617.570849,12533.76615,7622.617979,10738.25579,12578.00825
UHS,12086.20443,11526.40227,7765.863141,7217.210465,8317.360104
UNM,6200.510358,6014.775005,3046.594652,3374.745395,3425.863896
VFC,35433.77055,39801.6136,21346.47324,23739.75038,27372.8156
VLO,35323.71212,38457.65549,18567.52682,23980.83202,17664.04584
VAR,10844.4538,12909.98611,9307.77193,11126.64725,15679.75159
VTR,27209.88147,21521.77683,9992.647323,13662.00208,15654.75346
VRSN,22328.51125,22622.3646,20965.71706,23897.02972,23527.77776
VRSK,25856.83822,24472.34447,22729.53424,27616.49994,30091.73259
VZ,249648.9625,253937.1549,222442.1981,228127.7021,246175.2332
VRTX,43546.86985,56302.99038,61693.06072,75270.61898,70878.36467
VIAC,15193.26638,25974.03511,8815.5936,14469.67664,17374.38837
V,297056.3681,321654.3521,274874.5863,325899.5044,337150.8379
VNT,#N/A,#N/A,#N/A,#N/A,4179.686539
VNO,12149.06359,12691.52541,6915.602611,7302.531588,6443.704697
VMC,20007.08699,19057.79656,14325.21802,15342.51648,17952.01731
WRB,13230.80272,12691.94243,9569.125251,10239.11643,10884.93354
WAB,13775.45883,14912.86072,9227.050564,10954.9158,11775.73607
WMT,333520.7404,324828.1653,344436.4751,366454.7803,
WBA,53195.44317,40537.04361,37667.82434,32945.62527,
DIS,234755.7282,260680.8242,174405.4012,201416.8062,224220.4243
WM,48786.67938,48346.50367,39210.9154,44696.67188,47809.93115
WAT,14902.71066,15055.0924,11315.8726,11168.32618,12117.67374
WEC,29997.96356,29092.52866,27799.24513,27647.83789,30565.60739
WFC,215333.4031,222430.7116,117365.7243,104959.9391,96862.30297
WELL,36735.64201,33550.81602,18795.25317,21604.55424,22989.09506
WST,10459.0838,11123.06676,11236.05046,16720.21934,20298.8054
WDC,17653.67097,18876.29564,12441.54981,13231.80046,11057.3173
WU,9729.082891,11194.04029,7489.908874,8883.76246,8807.815144
WRK,9380.116479,11080.5633,7303.96644,7326.546497,9019.767323
WY,20634.53431,22503.28984,12636.54731,16759.78593,21283.536
WHR,10060.13583,9323.896035,5377.772712,8051.981975,11455.21042
WMB,29161.24801,28749.80027,17156.80372,23075.0079,23846.42351
WLTW,24891.97297,25964.03154,21863.26145,25524.72081,26908.21489
WYNN,11700.01136,14908.38879,6471.387823,8035.106699,7744.562395
XEL,34027.27563,33293.40278,31637.54068,32823.17734,36253.87222
XRX,6549.18322,7838.192938,4030.223801,3255.778438,3865.812998
XLNX,24224.81948,24585.96607,19394.32234,23927.89357,25467.29035
XYL,14333.91003,14188.42416,11737.92396,11687.29762,15138.17593
YUM,34515.16229,30466.99884,20615.33067,26158.69105,27517.78693
ZBRA,11167.91889,13773.58074,9742.732671,13588.78569,13466.17731
ZBH,28183.59126,30786.78047,20891.41763,24683.89983,28187.76444
ZION,7585.006087,8569.759493,4388.987931,5571.306427,4791.436955
ZTS,59498.9512,63038.17704,55894.9825,65085.88348,78574.67909
