,2015 EBITDA,2016 EBITDA,2017 EBITDA,2018 EBITDA,2019 EBITDA
MTOR,272,264,315,433,447
MLAB,21.52,25.206,25.978,26.584,27.341
CASH,#N/A,#N/A,#N/A,#N/A,#N/A
MEI,146.7,143.5,149.9,161.3,169
MET,#N/A,#N/A,#N/A,#N/A,#N/A
MTD,577.723,608.984,686.04,767.672,817.069
MTG,#N/A,#N/A,#N/A,#N/A,#N/A
MGM,1909.71,2127.993,2569.435,2508.987,2887.072
MGPI,45.776,49.843,54.217,61.51,58.814
MCHP,706.758,684.373,1030.333,1569.7,1990.1
MU,5623,3209,9743,19696,12849
MSFT,33043,26614,36631,44827,54218
MSTR,155.501,125.627,90.62,17.08,15.697
MAA,575.484,631.513,876.748,893.701,946.673
MTX,358.4,351.6,349.7,350.6,339.4
MKSI,178.687,257.528,508.338,585.337,372.998
MHK,1399.317,1787.938,1849.785,1751.329,1546.667
MOH,#N/A,#N/A,#N/A,#N/A,#N/A
TAP,665.5,859.8,2380.5,2350.3,2355.9
MCRI,48.497,54.06,55.802,57.455,57.562
MDLZ,5098,4784,5210,4687,5274
MPWR,53.346,68.892,94.768,127.721,119.893
MNRO,146.61,161.058,162.013,182.281,186.074
MNST,962.778,1204.704,1282.499,1367.198,1474.939
MCO,1586.9,1641.2,2001.6,2117.1,2275
MOG.A,338.11,325.903,326.124,358.372,372.912
MS,#N/A,#N/A,#N/A,#N/A,#N/A
MPAA,36.107,49.36,67.063,55.342,25.11
MSI,1261,1541,1679,1763,2085
MOV,83.956,86.44,65.488,67.987,91.962
COOP,-65.976,204.193,27.164,-471,-464
MSA,176.387,207.225,100.213,227.329,262.31
MSM,456.008,447.49,441.579,484.045,496.21
MSCI,481.697,569.457,659.757,772.433,857.599
MTSC,78.303,68.43,93.971,102.793,122.023
MLI,161.445,191.655,192.612,204.928,229.618
MUR,1354.522,961.194,1267.107,1114.077,1662.512
MUSA,342.853,400.125,405.894,411.8,422.6
MYE,69.551,60.645,58.933,32.483,62.644
MYRG,81.213,76.935,64.47,86.693,98.751
MYGN,159.2,193.5,96.2,115.1,111.6
NBR,1112.02,622.32,543.963,758.676,804.962
NDAQ,1040,1126,1223,1377,1276
NBHC,#N/A,#N/A,#N/A,#N/A,#N/A
FIZZ,85.315,112.096,178.06,214.845,193.274
NFG,650.108,559.895,702.182,772.175,794.974
NATI,193.156,197.309,239.03,257.59,231.933
NOV,2322,-550,425,897,88
NPK,78.125,77.195,71.592,56.649,50.069
NNN,426.298,469.213,518.755,556.015,612.075
NSA,65.72,103.496,150.714,115.655,233.988
NTUS,72.253,71.793,41.221,54.713,59.172
NAVI,4596,4136,4224,4607,4461
NBTB,#N/A,#N/A,#N/A,#N/A,#N/A
NCR,505,966,1045,825,997
NP,137.7,154.3,138.2,123.6,123.7
NKTR,-14.971,-99.655,-26.361,696.732,-429.035
NEOG,63.767,68.568,79.636,87.252,85.718
NEO,6.207,29.247,26.551,34.072,52.107
NTAP,1009.3,693,927,1138,1381
NFLX,3852.871,5304.771,7169.064,9261.683,11924.08
NTGR,124.47,149.154,70.044,60.123,46.429
NTCT,114.924,141.799,226.679,153.952,127.874
NJR,204.343,208.52,242.379,338.927,261.942
NYCB,#N/A,#N/A,#N/A,#N/A,#N/A
NYMT,331.983,302.708,372.94,478.428,737.346
NWL,901,1607.5,903.6,1266,1253.4
NEU,397.424,406.55,404.074,394.433,453.881
NEM,1855,2331,2691,2560,3764
NWSA,995,861,895,1038,1251
NWS,995,861,895,1038,1251
NXRT,47.896,58.134,60.73,68.21,90.437
NEE,6461,6819,7637,7970,8048
NXGN,63.283,74.257,78.772,66.585,70.691
EGOV,75.67999,84.60712,85.266,85.177,75.029
NLSN,1718,1851,1940,1752,1747
NKE,4656,4653,5020,5247,5429
NI,1325.9,1404.3,1486.4,725.5,2022.6
NMIH,#N/A,#N/A,#N/A,#N/A,#N/A
NDSN,394.335,469.51,565.665,610.986,593.357
JWN,1823,1725,1635,1576,1581
NSC,3978,4131,4577,5061,5031
NTRS,#N/A,#N/A,#N/A,#N/A,#N/A
NFBK,#N/A,#N/A,#N/A,#N/A,#N/A
NOC,3543,3649,3693,4580,5234
NWBI,#N/A,#N/A,#N/A,#N/A,#N/A
NWN,281.085,253.681,291.187,252.392,274.982
NWE,410.518,405.283,437.886,440.748,449.773
NLOK,669,892,823,1159,628
NCLH,1048.365,1285.651,1540.582,1751.623,1811.086
DNOW,-73,-169,9,104,86
NRG,2981,2111,1051,1826,1642
NUS,313.967,334.4,345.57,394.531,388.536
NUE,1352.73,2151.693,2647.727,4124.536,2668.913
NUVA,176.92,201.068,241.449,232.119,256.648
NVT,345.6,437.2,463.3,460.6,456.5
NVDA,1016.469,1145,2156,3422,4112
NVR,566.352,611.244,776.559,855.163,903.771
OXY,5035,3269,5100,6896,7188
OII,615.045,321.011,224.175,224.557,132.067
OPI,123.561,141.434,176.211,231.748,376.173
OFG,#N/A,#N/A,#N/A,#N/A,#N/A
OGE,789.1,825.9,815.4,811.2,859.3
OI,962,1026,994,1134,1107
OIS,181.81,51.116,38.456,129.85,98.333
ODFL,675.961,689.677,804.16,1068.022,1100.933
ONB,#N/A,#N/A,#N/A,#N/A,#N/A
ORI,#N/A,#N/A,#N/A,#N/A,#N/A
OLN,437,861.2,906.8,1298.9,908
OLLI,71.866,89.013,112.862,155.917,187.54
ZEUS,18.608,24.233,41.464,74.66,36.158
OHI,528.961,657.676,635.934,599.356,850.832
OMCL,70.828,72.943,62.656,99.642,142.473
OMC,2211.2,2301.8,2365.9,2368.5,2353.8
OGS,372.152,412.949,468.617,448.515,475.653
OKE,1347.734,1641.524,1912.501,2293.156,2343.118
OSPN,56.755,20.376,17.02,13.562,27.92
ONTO,15.428,37.39,49.726,57.466,57.926
ORCL,17150,15613,15727,17104,16974
OSUR,13.754,20.552,34.14,45.717,16.335
ORLY,1743.277,1917.072,1959.245,2074.121,2193.501
OFIX,30.178,53.277,60.935,55.122,35.055
OSK,523.3,517.6,626.3,785.8,909.3
OSIS,160.934,105.21,144.413,159.085,167.417
OTIS,#N/A,#N/A,2087,2046,2072
OMI,286.772,272.279,230.631,201.06,201.655
OC,875,1105,1265,1300,1291
OXM,103.401,119.501,118.685,115.387,123.282
PCAR,3198.2,2922.6,3381.4,3611,3942.6
PPBI,#N/A,#N/A,#N/A,#N/A,#N/A
PCRX,20.93,-12.005,0.864,37.744,55.286
PKG,1116,1161.6,1342.3,1514.1,1468.7
PACW,#N/A,#N/A,#N/A,#N/A,#N/A
PLMR,#N/A,#N/A,#N/A,#N/A,#N/A
PZZA,176.614,195.288,196.359,80.478,76.207
PARR,72.956,59.365,144.426,124.673,263.59
PKE,28.139,24.91,13.408,3.259,9
PK,756,733,696,684,695
PRK,#N/A,#N/A,#N/A,#N/A,#N/A
PH,1785.557,1604.8,1805.357,2479.789,2559.954
PATK,86.693,115.199,155.441,233.467,217.237
PDCO,429.357,440.496,408.046,303.705,256.411
PTEN,585.219,197.943,535.226,787.91,554.061
PAYX,1160.2,1261.7,1366.5,1462.1,1558.1
PAYC,43.856,71.603,149.105,203.372,268.435
PCTY,-5.312,10.323,28.323,48.487,91.211
PYPL,1935,2191,2785,3047,3166
PBF,529.941,805.5,1110.498,863.765,1029.5
CNXN,87.515,91.448,89.366,100.716,125.989
PDCE,203.785,239.577,642.613,956.281,872.488
PDFS,23.559,17.356,5.848,-3.399,-0.332
PEB,228.907,260.387,234.461,240.841,482.382
PENN,763.849,815.804,724.673,1011.089,1263.6
PVAC,139.128,41.943,105.388,389.144,356.321
PMT,206.825,209.938,274.601,333.505,488.315
PNR,806.7,919.5,496,561.9,526.5
PEN,5.931,0.947,4.946,37.101,55.325
PBCT,#N/A,#N/A,#N/A,#N/A,#N/A
PEP,12479,12516,12667,12799,13080
PRDO,-6.715,24.074,48.126,97.19,132.707
PRFT,55.247,50.016,53.321,60.06,77.127
PKI,372.156,405.645,409.633,551.556,619.507
PRGO,986.8,1113.1,1114.5,908.3,832.9
PRSP,#N/A,#N/A,#N/A,482,687
PETS,29.987,33.158,38.852,54.262,48.399
PFE,18453,20031,20660,21673,20127
PGTI,61.489,72.676,79.709,121.047,124.518
PAHC,109.272,112.38,118.411,124.804,114.709
PM,11479,11867,12451,12363,12851
PSX,5252,2723,3354,6421,4589
PLAB,154.045,135.445,118.57,150.008,136
DOC,71.25,144.985,210.481,277.381,262.995
PPC,1187.671,1027,1346.544,801.935,1008.158
PNFP,#N/A,#N/A,#N/A,#N/A,#N/A
PNW,1540.653,1398.439,1613.094,1442.15,1422.565
PXD,875,1194,2259,3838,3648
PIPR,142.994,113.242,131.987,105.754,158.691
PBI,807.873,891.473,638.438,541.645,381.551
PLT,155.933,140.084,148.751,153.017,188.932
PLXS,170.945,157.498,178.596,160.284,197.618
PNM,340.348,536.29,610.504,577.388,596.363
PII,797.419,436.135,591.304,610.332,636.403
POOL,233.61,277.836,310.096,341.804,370.52
POST,608.4,896.9,944.1,1131.5,1129.2
PCH,98.546,118.856,184.086,271.748,156.14
POWL,38.2,36.729,-5.461,4.768,22.199
POWI,62.696,72.349,82.094,79.833,72.456
PPG,2459,2445,2441,2252,2398
PPL,3813,4078,4027,4044,4139
PRAA,330.218,245.365,235.522,207.114,251.05
PRAH,242.902,276.915,344.419,429.496,481.716
PFBC,#N/A,#N/A,#N/A,#N/A,#N/A
PBH,241.399,287.791,304.425,355.424,331.959
PSMT,182.816,177.679,185.882,182.96,173.93
PRI,#N/A,#N/A,#N/A,#N/A,#N/A
PFG,#N/A,#N/A,#N/A,#N/A,#N/A
PRA,#N/A,#N/A,#N/A,#N/A,#N/A
PRG,317.468,338.826,354.73,382.747,418.257
PRGS,70.951,107.011,134.955,118.386,127.86
PLD,1260.545,1599.363,1650.206,1794.216,2131.827
PUMP,60.75668,8.01316,120.673,380.642,476.882
PB,#N/A,#N/A,#N/A,#N/A,#N/A
PRLB,81.275,79.252,90.7,115.652,110.72
PFS,#N/A,#N/A,#N/A,#N/A,#N/A
PRU,#N/A,#N/A,#N/A,#N/A,#N/A
PSB,237.569,149.933,173.396,277.221,288.029
PTC,272.89,131.749,137.706,164.837,194.453
PEG,3945,3030,3545,3842,3316
PSA,1658.017,1807.81,1877.668,2047.454,1978.057
PHM,838.508,1031.171,1038.037,1397.018,1415.468
PVH,1030.4,1035.4,1056.5,991.7,1287.3
QEP,562.8,464.5,742.7,1186.9,742
QRVO,393.854,737.719,821.33,882.668,956.833
KWR,97.256,103.678,112.648,124.156,153.184
QCOM,8641,8240,6546,5317,9482
QLYS,39.166,47.101,57.879,79.265,105.893
NX,59.895,102.63,96.412,89.005,98.129
PWR,497.247,537.002,647.748,832.909,862.368
DGX,1508,1478,1553,1533,1549
QDEL,26.736,27.915,56.74,157.506,157.641
QNST,-0.31,-3.787,3.154,23.403,19.702
RCM,-118.239,328.921,-6.5,66.9,146.9
RDNT,101.339,108.734,119.809,107.599,221.329
RL,1343,1040,787.1,959.6,994
RMBS,106.723,97.721,112.211,-44.664,-43.914
RRC,354.361,264.41,1067.45,1338.414,655.593
RAVN,61.17,37.56,43.776,74.231,70.964
RJF,950.764,1003.984,1175.42,1518.807,1603
RYAM,243.981,231.605,159.644,306.303,83.98
RYN,192.169,371.359,340.128,319.787,237.1
RTX,9922,9706,8753,9497,11875
RMAX,75.469,79.593,76.952,79.107,79.116
RC,120.68,138.538,129.634,167.143,228.041
RLGY,749,757,729,624,508
O,923.492,999.28,1105.092,1196.997,1346.571
RRGB,145,136.591,144.061,126.109,100.58
RWT,188.952,227.953,262.851,370.734,674.867
RBC,569.8,519.3,478.1,509.9,504.8
REG,345.268,286.346,658.765,746.246,709.165
REGN,1326.825,1435.486,2225.058,2682.6,2420.1
RGNX,-23.026,-64.898,-73.199,92.082,-141.846
RF,#N/A,#N/A,#N/A,#N/A,#N/A
RGS,86.394,85.084,66.169,45.977,37.545
RGA,#N/A,#N/A,#N/A,#N/A,#N/A
RS,809.8,799.2,884.9,1173.1,1233.1
RNR,#N/A,#N/A,#N/A,#N/A,#N/A
RNST,#N/A,#N/A,#N/A,#N/A,#N/A
REGI,10.421,133.75,47.007,332.416,478.684
RCII,298.181,185.479,70.799,184.407,254.235
RGEN,22.441,26.764,24.888,44.666,60.951
RSG,2637.3,2682.4,2774.4,2878,2956.6
REZI,477,559,512,564,375
RMD,487.16,522.715,568.889,680.223,786.781
RGP,54.565,57.36,37.854,51.013,58.047
ROIC,118.263,149.21,170.923,190.18,185.431
RPAI,378.89,374.411,334.864,296.45,302.437
REX,139.372,49.403,67.039,42.746,31.794
REXR,53.047,72.862,93.995,136.833,175.679
RH,208.189,249.156,141.631,209.529,420.381
RLI,#N/A,#N/A,#N/A,#N/A,#N/A
RHI,633.945,617.537,581.21,653.169,686.015
ROK,1323,1160.3,1206.4,1474.2,1496.3
ROG,118.309,126.233,171.476,160.223,164.807
ROL,285.587,311.031,350.914,375.94,398.505
ROP,1236.003,1301.362,1553.757,1762.4,1912.3
ROST,1721.309,1899.199,2105.159,2361.559,2371.071
RCL,2361.921,2665.163,2806.037,2925.971,3298.751
RGLD,209.06,242.042,305.578,328.525,303.763
RES,121.117,-29.604,385.224,369.806,125.61
RPM,602.401,677.11,642.541,656.268,637.472
RPT,159.622,157.987,158.464,160.629,137.299
RUTH,57.286,60.993,67.594,73.572,76.175
R,1652.831,1738.308,1741.212,2153.829,2407.201
SPGI,2102,2541,2974,3036,3412
STBA,#N/A,#N/A,#N/A,#N/A,#N/A
SBRA,194.498,234.681,346.016,511.837,506.669
SABR,823.603,871.567,972.422,975.038,824.389
SAFE,16.006,17.999,16.576,39.567,79.341
SAFT,#N/A,#N/A,#N/A,#N/A,#N/A
SAIA,155.305,156.092,181.629,243.709,271.318
SAIL,1.591,12.7,20.163,21.649,6.559
CRM,302.663,600.42,709.482,1706,2157
SBH,591.486,613.605,616.39,567.467,566.164
SAFM,410.659,378.694,530.001,153.99,212.775
SANM,309.998,332.796,349.706,298.017,416.819
BFS,140.47,145.501,152.8335,153.179,152.363
SBAC,1079.124,1068.879,1150.665,1254.374,1350.997
SCSC,119.359,116.188,119.674,139.822,144.786
SLB,9798,6625,6786,6708,6521
SCHL,133.9,157.7,151.6,137.5,120.1
SWM,171.5,182.5,195.7,197.5,196
SAIC,262,312,313,313,347
SGMS,961.3,995.3,1121.8,1208.7,1221
SBCF,#N/A,#N/A,#N/A,#N/A,#N/A
CKH,149.52,78.848,113.904,140.995,110.816
STX,2324,1491,2047,2334,2003
SEE,1088.8,737.1,741.6,849.4,828.4
SEIC,424.431,447.638,473.799,519.35,545.021
SEM,384.471,448.358,518.689,621.834,684.457
SIGI,#N/A,#N/A,#N/A,#N/A,#N/A
SRE,3337,3001,3780,3248,4314
SMTC,118.948,66.495,107.432,128.368,138.414
SENE.A,#N/A,,,,
SXT,259.083,259.779,264.44,255.485,224.125
SCI,785.876,806.738,842.905,863.308,887.073
SVC,665.711,744.201,766.986,780.582,799.969
NOW,-106.009,-68.908,50.904,106.774,412.637
SFBS,#N/A,#N/A,#N/A,#N/A,#N/A
SHAK,16.992,42.341,65.728,73.907,82.575
SHEN,148.334,235.201,236.075,259.993,258.601
SCVL,62.916,72.511,67.211,65.905,74.611
SSTK,56.159,67.432,62.639,78.104,70.07
SBNY,#N/A,#N/A,#N/A,#N/A,#N/A
SIG,588.6,708.5,693.6,528.6,413.4
SLGN,477.611,464.149,531.137,573.124,606.324
SLAB,73.981,104.395,126.391,144.02,113.864
SFNC,#N/A,#N/A,#N/A,#N/A,#N/A
SPG,3855.678,3973.99,4082.477,4198.152,4167.052
SSD,144.256,167.569,172.731,207.832,213.632
SLP,7.84612,9.16413,10.39936,13.01909,13.39898
SITC,655.096,652.221,591.413,434.871,308.587
SIX,526,491.418,641.457,703.412,550.294
SKX,392.726,435.815,462.724,526.863,607.465
SKYW,499.022,577.934,680.967,808.869,902.225
SWKS,1222.3,1371.3,1507.9,1607.4,1330.4
SLG,1006.781,980.918,839.535,1049.694,845.225
SNBR,119.226,130.322,153.206,154.394,173.961
SLM,555.662,621.839,773.261,949.663,1274.755
SM,527.142,388.654,566.835,962.79,902.549
SGH,44.578,38.8,87.569,193.403,115.587
SNA,842.6,939.9,974.4,1052.3,1051.7
SEDG,31.02,72.594,97.201,152.544,239.836
SAH,306.696,319.453,310.352,301.617,351.487
SON,645.575,652.959,677.74,728.458,775.755
SJI,244.604,266.502,235.438,274.633,334.262
SBSI,#N/A,#N/A,#N/A,#N/A,#N/A
LUV,5585,4743,5177,4374,4224
SWX,555.043,584.846,589.875,611.845,675.048
SWN,1027,640,1229,1559,776
SPTN,225.015,227.025,214.275,197.185,162.026
SPPI,-1.703,-36.394,-68.688,-137.647,-136.883
SR,419,410.2,479.6,445.9,489.9
SRC,582.182,592.232,573.518,212.797,426.321
SPOK,41.771,36.562,22.33,7.596,2.289
SFM,299.894,293.883,325.199,346.689,429.266
SPSC,16.595,18.953,21.763,39.417,54.844
SPXC,-77.7,101.5,75.1,146.2,146.1
FLOW,272.7,201.6,199.6,175.7,174.5
STMP,64.17,140.472,184.947,220.991,121.431
SMP,92.338,121.286,126.335,129.955,144.894
SXI,97.849,114.233,98.319,125.22,121.028
SWK,1942.2,2073,2332.7,2391.5,2510.4
SBUX,4300.6,4939.5,5018.3,5165.6,5353.9
STT,#N/A,#N/A,#N/A,#N/A,#N/A
STLD,628.868,1159.463,1374.079,2017.054,1308.84
SCL,186.904,208.215,229.277,232.958,208.696
SRCL,789.391,852.47,787.2,777.7,591.3
STE,328.592,471.496,505.9,609.467,684.114
STL,#N/A,#N/A,#N/A,#N/A,#N/A
SHOO,182.829,177.303,165.781,198.933,212.092
STC,#N/A,#N/A,#N/A,#N/A,#N/A
SF,380.07,435.175,625.853,743.935,813.462
SNEX,104.9,103,67.2,191.8,274.2
STOR,254.998,338.603,408.019,493.897,603.269
STRA,87.802,75.489,70.942,97.457,237.316
SYK,2649,3123,3409,3827,4166
RGR,130.667,169.759,110.644,98.971,68.76
INN,143.25,154.28,169.088,185.663,175.223
SXC,197.9,227.4,233.4,261.2,252.8
RUN,-147.827,-98.498,-45.946,42.726,-19.048
SUPN,21.765,56.615,107.673,151.507,158.796
SRDX,24.394,26.411,12.531,7.195,15.169
SIVB,#N/A,#N/A,#N/A,#N/A,#N/A
SYKE,149.953,166.144,171.438,157.557,156.084
SYNA,242.4,195.2,175.2,74,125
SYF,7158,8251,9359,10113,10093
SYNH,215.727,231.318,338.2,549.501,583.629
SNX,468.171,514.376,673.632,811.55,1232.995
SNPS,523.198,558.97,627.721,609.645,786.236
SNV,#N/A,#N/A,#N/A,#N/A,#N/A
SYY,2327.63,2655.2,3090.671,3118.797,3241.461
TROW,2079.7,2006.8,2353.9,2461.1,2746.8
TRHC,8.039,9.383,8.494,17.719,8.79
TCMD,4.278,5.071,5.747,6.625,15.136
TTWO,-103.609,223.906,352.576,310.731,462.14
TALO,146.893,134.22,221.947,609.692,615.295
SKT,250.403,269.481,291.106,294.129,269.973
TPR,947.6,908.2,1031.6,1252.2,1176.7
TGT,6304,6748,6678,6791,6676
TCO,294.771,319.636,162.416,205.761,199.164
TMHC,278.404,322.488,352.442,347.641,365.243
TCF,#N/A,#N/A,#N/A,#N/A,#N/A
TEL,2572,2511,2698,3117,2884
TISI,42.71,64.652,13.751,32.426,48.589
FTI,#N/A,#N/A,1905.2,1508.1,1600
TTGT,17.568,11.684,15.046,21.169,27.738
TGNA,1059.388,818.914,626.969,773.562,701.432
TDY,381.1,345.8,456.6,529.1,607.9
TFX,438.824,504.485,562.512,675.533,716.443
TDS,980.837,967,996,1079,1122
TPX,391.7,450.9,354.2,325.8,456.4
THC,2105,2250,2250,2416,2529
TNC,86.145,87.102,97.565,119.472,129.1
TDC,492,497,234,195,169
TER,388.822,420.221,635.28,595.553,657.229
TEX,455,309.5,232.1,457.4,386.2
TTEK,187.021,213.914,236.887,241.611,238.797
TCBI,#N/A,#N/A,#N/A,#N/A,#N/A
TXN,5346,5739,6937,7670,6737
TXRH,215.233,262.343,314.533,309.834,346.824
TXT,1584,1607,1468,1527,1459
AAN,#N/A,,,,
AES,3749,3308,3405,3393,3211
ALL,#N/A,#N/A,#N/A,#N/A,#N/A
ANDE,53.639,126.448,111.864,136.694,225.277
BK,#N/A,#N/A,#N/A,#N/A,#N/A
