Symbol,Q3 2019 Shares Outstanding,Q4 2019 Shares Outstanding,Q1 2020 Shares Outstanding,Q2 2020 Shares Outstanding,Q3 2020 Shares Outstanding
MMM,575.27905,575.051,575.261,575.19635,576.0195
ABT,1767.398,1767.398,1763.433,1768.8453,1770.53
ABBV,1478.4839,1478.821,1476.673,1762.3422,1764.8333
ABMD,45.377,45.155,45.063,44.95696,45.04726
ACN,635.0435,635.0435,637.027,636.19666,
ATVI,767.026,768.26,769.222,770.4855,771.8721
ADBE,484.079,487.72592,481.801,479.66525,
AMD,1085.546,1113.628,1170.852,1171.1904,1174.0568
AAP,71.38699,69.2594,69.089,69.10122,69.13876
AES,663.85,663.893,664.768,664.9075,665.13116
AFL,740.383,734.018,722.521,717.50793,703.574
A,309.46768,310.183,309.651,308.7774,
APD,220.355,220.486,220.678,220.85464,220.89438
AKAM,162,161.601,161.882,162.27448,162.70486
ALK,123.272,123.077,122.585,122.58537,123.63973
ALB,105.986,106.033,106.319,106.319,106.35799
ARE,113.418,115.15073,126.19484,126.19484,126.11457
ALXN,224.227,221.291,222.1,220.82744,219.17299
ALGN,79.871,78.813,78.753,78.762955,78.78668
ALLE,93.376,92.917,92.601,92.22023,92.23344
LNT,240.34296,244.6276,249.50375,249.50375,249.64435
ALL,329.1918,319,316.914,314.1161,312.31616
GOOGL,299.624,299.828,299.89517,300.05045,300.47116
GOOG,347.345,342.066,337.518,336.1623,333.6311
MO,1868.096,1868.127,1858.367,1858.368,1858.3972
AMZN,494.656,498,497.856,498.77603,500.88965
AMCR,1614.958,1620.142,1604.0472,1574.4374,1568.4816
AEE,245.80333,246.03,246.737,246.89104,247.07953
AAL,445.271,428.2,426.05875,508.1095,508.5617
AEP,493.795,494.16946,494.833,495.58313,496.15543
AXP,821,810,805.778,804.9715,805.16113
AIG,869.908,869.952,861.2901,861.29065,861.4339
AMT,442.685,442.94,442.912,443.30643,443.57065
AWK,180.653,180.776,180.975,181.02292,181.20407
AMP,127.4051,126.69559,122.969,122.33725,120.26887
ABC,206.76065,205.92218,205.892,203.40277,204.1418
AME,228.346,228.593,229.19,229.4321,229.6304
AMGN,599.70123,594.184,589.807,588.2474,585.6938
APH,297.448,296.492,298.101,295.89438,298.37686
ADI,369.406,368.954,368.22,368.95444,
ANSS,84.101,85.58129,85.914,85.595436,85.78924
ANTM,255.817,253.564,252.137,252.1161,251.50645
AON,235.84189,232.0515,231.31201,231.08684,231.65033
AOS,138.35043,137.05902,135.96,135.09563,135.37509
APA,375.959,376.036,377.316,377.42603,377.45865
AIV,148.884,148.885,148.93,148.86415,148.86505
AAPL,18076.72,17773.06,17501.92,17135.756,16976.764
AMAT,923.7538,918.607,918.305,916.4793,
APTV,256.193,255.288,255.219,270.02536,270.02536
ADM,556.974,556.686,557.208,555.4962,555.6469
ANET,76.6443,76.399,76.479225,75.70451,76.0256
AJG,186.07,186.523,189.607,189.621,191.5
AIZ,61.1309,60.635834,59.823753,59.652252,59.648075
T,7307,7254.555,7172.8843,7125,7125
ATO,118.20069,122.25929,122.307,122.311516,123.35498
ADSK,219.588,220.033,219.521,219.18356,
ADP,433.699,432.698,431.754,429.77438,429.84607
AZO,23.827,23.593,23.352,23.359377,
AVB,139.657,139.662,140.735,140.73134,140.74356
AVY,84.193,83.503,83.296,83.29597,83.46216
BKR,649.14014,649.869,653.741,655.0348,656.3252
BLL,332.003,327.12952,325.785,326.00177,326.56693
BAC,9079.265,8995.107,8728.53,8675.611,8664.098
BK,922.199,900.683,885.051,885.4428,885.8617
BAX,510.556,510.556,507.206,508.8362,506.23172
BDX,269.954,270.46,271.77637,289.86856,289.86856
BRK.B,1386.3115,1383.415,1382.352,1390.7074,1401.3564
BBY,263.57327,258.77744,257.50336,258.30905,
BIO,24.705,24.836,24.84,24.567291,24.586409
BIIB,184.44722,180.44188,174.06401,163.18748,158.31348
BLK,154.574,155.173,154.828,152.46024,152.48357
BA,562.71,562.791,564.226,564.3253,564.4487
BKNG,42.5119,41.4174,41.061813,40.930912,40.94863
BWA,206.515,206.493,206.704,207.30994,207.25418
BXP,154.568,154.622,155.122,155.36914,155.6338
BSX,1392.973,1393.824,1399.2,1428.7327,1430.6747
BMY,1635.767,2344.1848,2262.463,2262.6897,2259.7515
AVGO,396.671,397.7923,399.791,402.18527,
BR,114.283,114.646,114.803,114.81748,115.16151
BF.B,308.5,308.807,309.1,309.31433,
CHRW,135.378,135.25,131.3397,134.60999,134.82341
COG,418.39063,397.92468,398.5755,398.5755,398.5799
CDNS,280.153,280.593,280.168,279.187,278.794
CPB,301.187,301.655,301.745,302.16443,
COF,470.333,465.721,457.421,455.3101,456.63577
CAH,292.4042,292.488,291.784,291.98642,293.39355
KMX,164.43,163.385,162.74544,163.07776,
CCL,526.85077,527.6592,599.693,600.6634,
CARR,#N/A,#N/A,866.22345,866.15894,866.165
CTLT,146.256,146.309,156.129,163.93216,164.51006
CAT,552.6584,552.6584,550.083,541.2393,541.5066
CBOE,111.682,110.777,110.435,109.72034,108.75788
CBRE,336.336,334.752,334.791,335.1668,335.2778
CDW,144.715,143.681,142.772,142.31808,142.66966
CE,123.74035,120.874,119.566,118.2289,118.290665
CNC,413.605,413.796,586.811,579.1294,579.46954
CNP,502.219,502.242,502.6475,544.69244,544.819
CERN,318.39395,314.097,304.2457,304.3486,305.38156
CF,218.32584,217.432,213.79698,213.79727,213.87994
SCHW,1307.1831,1284.579,1286.216,1287.3844,1288.6418
CHTR,214.78012,209.97597,206.45753,204.89917,199.87512
CVX,1898.418,1890.872,1879.325,1866.979,1867.3234
CMG,27.723,27.795,27.768,27.890741,27.967625
CB,455.749,453.202,451.908,451.3572,451.3659
CHD,247.096,245.402,245.776,245.89272,248.37729
CI,377.609,373.42538,371.92,368.258,367.20062
CINF,163.336,163.374,162.246,162.24597,160.8535
CTAS,103.5,103.751,104.05,103.499016,
CSCO,4243.83,4242.263,4240.88,4222.2964,
C,2183.2,2183.194,2098.208,2081.808,2081.865
CFG,447.08652,433.1211,427.43442,426.61905,426.8287
CTXS,130.902,130.21985,122.35817,123.450645,123.53199
CLX,125.467,125.503,125.1,125.1,125.97704
CME,358.092,358.361,358.476,358.58517,358.62375
CMS,283.787,283.842,284.208,286.22147,286.2807
KO,4276.027,4284.491,4293.402,4294.891,4295.439
CTSH,552.2911,547.566,548.637,540.5801,539
CL,858.006,857.044,857.447,856.52844,857.4002
CMCSA,4535.541,4539.806,4543.59,4554.7134,4558.6563
CMA,144.1,144.154,140.344,139.03471,139.03935
CAG,486.654,486.814,487.076,488.4801,
CXO,201.079,201.0287,196.707,196.707,196.70734
COP,1097.2687,1084.8684,1081.1324,1072.425,1072.5662
ED,332.1442,332.43,333.775,334.10205,334.49658
STZ,167.498,167.513,167.85292,168.02043,
COO,49.574,49.167,53.33045,53.33309,
CPRT,232.25014,232.454,233.705,234.77753,
GLW,780.866,769.11,762.62,760.948,760.948
CTVA,748.893,748.401,749.283,748.37,748.569
COST,439.657,441.758,441.58,441.5237,
CCI,415.755,415.768,416.746,416.75122,431
CSX,782.33655,777.637,770.711,765.4659,765.05255
CMI,153.2036,153.204,148.12236,147.5261,147.67552
CVS,1300.497,1300.964,1304.16,1307.0908,1308.7035
DHI,369.81992,368.832,366.364,363.5378,363.70258
DHR,717.368,695.5,696.895,706.5198,709.4088
DRI,122.602,121.51,129.87924,130.08061,
DVA,133.88887,125.84285,125.6,121.8,122
DE,314.873,314.808,313.62,312.85864,
DAL,646.74286,646.74286,640.094,637.78735,637.85675
XRAY,224.18346,222.414,219.02614,219.08044,218.4964
DVN,387,384.1,382.92123,383,382.6065
DXCM,91.186,91.186,91.594,92.3,95.74221
FANG,161.1423,159.03473,158.284,157.81584,157.82408
DLR,208.343,208.85228,259.2793,268.31305,268.99478
DFS,315,310,306.23798,306.30078,306.42114
DISCA,158.037,158.14,158.566,160.01971,160.2057
DISCK,373.07172,360.66397,355.84354,340.1615,340.17078
DISH,255.4705,284.46115,284.612,285.72232,286.86996
DG,257.068,254.6,251.515,251.72183,
DLTR,236.625,236.662,237.23091,237.23239,
D,821.91455,823.093,838.0003,839.251,840.13586
DPZ,40.9,39.026,39.117878,39.347214,
DOV,145.438,145.266,144.084,143.947,143.97017
DOW,743.212,741.496,742.68,740.73083,741.12146
DTE,183.30173,192.105,192.58192,192.61188,192.65074
DUK,728.601,733,734.029,734.85254,735.4321
DRE,361.444,367.57068,368.343,368.38217,370.5618
DD,745.482,740.807,739.388,733.79724,733.8276
DXC,261.96246,255.99753,253.721,253.75175,254.1946
EMN,136.994,135.979,135.894,135.894,135.34976
ETN,413.4,413.4,400,400,400.1
EBAY,838.7636,813.525,796.0808,702.6787,699.8811
ECL,288.2444,288.2444,289.166,284.2462,285.38477
EIX,358.08957,358.601,362.614,377.94147,378.22098
EW,623.907,625.70996,621.97797,619.66425,621.7406
EA,294.707,291.979,289.674,288.7144,288.7968
EMR,615.101,610.913,597.4753,597.4753,597.5919
ETR,198.82976,199.102,200.816,200.16194,200.21132
EOG,580.357,581.764,582.055,582.04596,582.2436
EFX,120.884,121.083,121.971,121.38514,121.45746
EQIX,84.819,85.279,85.444,88.51454,88.55712
EQR,370.85272,371.354,371.978,372.1256,372.21014
ESS,65.728,66.082,65.412,65.41736,65.209946
EL,221.861,222.551,222.319,224.7632,226.13931
ETSY,118.44965,118.489,117.949,118.67796,119.327614
EVRG,235.46748,227.9032,226.661,226.74046,226.82755
ES,323.602,323.761,330.332,342.5447,342.66785
RE,40.74,40.782,45.540897,39.987015,39.971794
EXC,971.584,972.109,973.93,974.40784,974.5039
EXPE,140.98196,139.36282,134.46567,135.4594,135.70326
EXPD,170.72014,170.301,167.98883,166.193,167.65921
EXR,129.378,129.511,129.613,129.0866,129.06992
XOM,4231.1064,4231.106,4232.191,4228.2114,4228.2334
FFIV,60.13002,60.794,60.804,60.89654,61.173107
FB,2405.7231,2406.468,2405.746,2406.802,2404.2822
FAST,573.43,573.527,574.396,572.8189,573.62634
FRT,74.954,75.523,72.622604,75.63304,75.638756
FDX,260.91,261.119,261.25,261.99744,
FIS,613.444,614.6,616.322,617.8338,619.60345
FITB,718.583,709.6674,711.133,711.9118,712.241
FE,539.9869,540.312,540.714,541.7537,542.1104
FRC,168.45045,168.52203,171.288,172.09357,172.118
FISV,679.6855,679.895,679.099,669.48425,669.64996
FLT,86.568,85.342155,83.7707,83.80224,84.05194
FLIR,135.606,134.15308,134.456,130.84236,131.12196
FLS,131.17,130.86,130.901,130.12593,130.15971
FMC,130.433,129.615,129.441,129.44719,129.56636
F,3918.991,3894.045,3894.078,3906.188,3907.5369
FTNT,170.991,171.034,172.515,161.64854,161.83159
FTV,335.533,335.804,336.415,336.8561,337.0715
FBHS,139.881,139.151,139.706,137.94695,138.14832
FOXA,354.47525,354.51105,344.80872,342.64227,338.78488
FOX,266.174,266.174,262.0244,261.07837,258.40012
BEN,503.667,499.164,496.898,495.30627,495.35663
FCX,1450.891,1450.914,1450.972,1451.9708,1452.2186
GPS,375.788,373.299,372.639,373.4707,
GRMN,190.102,190.103,190.687,191.01785,191.23744
IT,90.137,89.453,89.102,89.17512,89.2326
GD,288.844,289.306,286.86453,286.86453,286.93243
GE,8727.072,8733.549,8747.092,8747.092,8753.289
GIS,604.394,604.817,606.139,610.91797,
GM,1427.729,1428.784,1429.002,1431.0764,1431.0966
GPC,146.078,145.293,145.382,144.26028,144.26419
GILD,1266.455,1265.146,1259.015,1254.3734,1253.7244
GL,109.102,108.288,107.397,106.43802,106.51269
GPN,300.04724,300.548,300.128,299.1057,299.2433
GS,359.5635,347.34317,345.67276,343.8866,344.07617
GWW,53.866253,53.866,53.673,53.467937,53.571735
HAL,875.932,877.804,879.911,877.27765,878.4704
HBI,361.543,361.697,348.0353,348.0353,348.16077
HIG,361.581,360.421,358.252,358.07498,358.1964
HAS,126.201,136.83331,136.877,137.01135,137.02272
HCA,340.983,339.178,338.469,337.6189,338.0333
PEAK,491.1103,494.95352,505.6315,538.27026,538.31934
HSIC,148.259,143.35345,143.3905,142.756,142.76776
HSY,148.965,148.308,148.13583,147.39584,147.4087
HES,304.481,304.706,305.215,307.14398,307.1444
HPE,1305.601,1292.926,1288.342,1284.7572,
HLT,286.85452,282.163,277.44772,277.26147,277.30936
HFC,164.57817,161.38972,161.884,161.8861,162.01546
HOLX,267.306,268.14542,264.127,258.2057,258.98523
HD,1095.153,1090.831,1074.116,1075.5228,
HON,714.5335,714.533,707.287,701.8478,701.78314
HRL,533.97,534.737,537.776,538.95184,
HST,718.5,717.178,705.8817,704.959,705.2632
HWM,440.188,432.94107,435.919,436.10342,436.1415
HPQ,1481.9137,1433.3457,1429.764,1373.4967,
HUM,132.42604,132.42604,132.124,132.20607,132.29257
HBAN,1032.7552,1020.0035,1022.976,1014.2181,1017.3096
HII,41.335,40.900356,40.724,40.47425,40.492153
IEX,75.847,76.06,76.239,75.39188,75.51041
IDXX,86.09,85.783,85.225,84.93297,85.05468
INFO,400.988,399.77216,398.916,396.80966,
ITW,323.478,321.406,317.517,315.93207,316.16324
ILMN,147,147,147,147,146.36037
INCY,215.067,215.397,216.776,217.37346,218.69908
IR,204.09962,204.633,415.57684,416.5927,417.05908
INTC,4350,4350,4234,4234,4098
ICE,560.415,556.85,549.138,547.2218,561.24835
IBM,885.63745,887.1105,887.89197,890.57874,890.57874
IP,392.83636,392.116,392.125,393.0413,393.09286
IPG,387.223,387.732,387.824,389.61392,389.92288
IFF,106.775,106.781,106.802,106.93189,106.932556
INTU,260.07364,260.307,260.489,260.77133,
ISRG,115.253,115.574,116.75,116.61778,117.02588
IVZ,453.89386,453.894,458.8989,458.89566,459.16592
IPGP,53.2,53.07,53.059,53.02757,53.25696
IQV,194,194.038,192.817,190.96378,191.27097
IRM,287.107,287.143,287.3,287.88284,288.14832
JKHY,77,76.937,76.72,76.61543,76.64183
J,132.8794,133.24939,133.05,130.10266,130.20804
JBHT,106.768,106.578,106.259,105.46063,105.507225
SJM,114.048,114.056,114.038,114.10778,
JNJ,2639.166,2631.872,2636.352,2634.5945,2632.8235
JCI,777.6,771.42,743.86237,743.86237,726.2
JPM,3136.4849,3136.485,3073.9766,3047.023,3047.6045
JNPR,345.816,334.70706,330.5272,331.35236,331.75037
KSU,99.914,99.12,95.014725,95.020226,94.349266
K,340.63193,341.094,342.499,342.67,342.91925
KEY,988.538,984.958,969.89,975.4056,976
KEYS,187.578,188.448,187.395,187.03703,
KMB,344.2,342.806,341.46,340.54712,341.04715
KIM,422.218,431.81494,432.51,432.52542,432.50363
KMI,2263.805,2264.965,2265.063,2261.487,2263.5356
KLAC,158.463,157.794,156.772,155.04889,155.11064
KHC,1219.991,1221.1606,1221.757,1221.8331,1222.5786
KR,801.621,800.587,778,777.92584,
LB,276.392,276.475,276.53333,277.82928,
LHX,222.575,221.065,216.8962,216.8962,216.19539
LH,97.7,97.1,97.3,97.2,97.4
LRCX,144.834,142.462,145.54848,145.16223,145.08794
LW,146.063,146.092,146.039,145.31352,
LVS,769.789,768.037,763.685,763.72974,763.80334
LEG,131.47,131.603,132.137,132.3,132.39291
LDOS,143.808,141.564,141.847,142.04376,142.19356
LEN,279.881,274.89966,274.618,274.61835,
LLY,965.4329,960.131,957.038,957.03845,956.4704
LNC,200.19269,198.331,195.37158,193.22444,193.24812
LIN,540.591,537.176,532.96,525.36005,525.36005
LYV,213.509,213.509,214.531,215.2601,217.25478
LKQ,308.20502,306.462,303.94315,303.968,304.29257
LMT,282.398,282.071,281.868,280.4353,279.54205
L,302.38004,291,283.13654,281.43048,280.44418
LOW,771.799,766.475,754.949,755.00275,
LUMN,1090.769,1090.229,1089.54,1097.5021,1097.5378
LYB,335.246,333.411,333.555,333.70624,333.8393
MTB,132.277,130.589,129.95064,128.27267,128.28004
MRO,804.0422,799.929,795.85,790.31244,789.4392
MPC,658.319,649.322,650.001,650.2609,650.6955
MKTX,37.757,37.924,37.922,37.910213,37.971733
MAR,329.35883,326.937,324.215,324.25592,324.31506
MMC,506.311,504.668,503.898,510.22336,506.52933
MLM,62.44,62.501,62.199,62.241367,62.268856
MAS,286.07333,284.1,263.75537,260.4,260.4
MA,1003.111,997.449,994.281,993.0407,992.53577
MKC,123.57,123.599,123.641,123.945305,
MXIM,271.096,270.609,269.394,266.6254,267.40152
MCD,753.0933,753.0933,745.44666,743.55615,744.10254
MCK,180.1879,176.93044,177.08102,162.1156,160.56442
MDT,1341.669,1340.378,1340.166,1341.2988,
MRK,2560.375,2545.984,2536.269,2524.101,2529.241
MET,919.6,919.631,915.828,907.58875,907.6625
MTD,24.3542,24.3542,23.981,23.907528,23.971266
MGM,513.9138,514.984,492.691,493.21768,493.28116
MCHP,238.044,238.978,239.538,252.44952,252.4515
MU,1107.051,1110.874,1112.186,1110.9984,
MSFT,7635.409,7628.8057,7606.047,7583.4404,7567.653
MAA,114.044,118.31357,114.27966,114.365204,114.365204
MHK,72.152534,71.622,71.673,71.672775,71.195045
TAP,196.23032,196.249,196.27,196.47202,196.56804
MDLZ,1442.151,1439.824,1432.943,1427.4641,1428.3384
MNST,544.879,537.682,536.896,526.5636,527.3964
MCO,189.2,188.8,187.208,187.5,187.7
MS,1624,1618.5979,1576,1575.6564,1576.761
MOS,385.867,378.76443,378.76443,379.02048,379.09003
MSI,166.556,171.336,171.553,170.06734,169.7871
MSCI,84.699,84.707,85.01475,85.01475,83.63718
MYL,515.87,516.133,516.177,516.9472,516.94696
NDAQ,164.688,163.915,165.012,164.07085,164.2584
