Symbol,Q3 2019 Debt,Q4 2019 Debt,Q1 2020 Debt,Q2 2020 Debt,Q3 2020 Debt
MMM,20398,21299,23342,21617,20455
ABT,20001,19099,18272,19679,18563
ABBV,38777,67088,67046,87432,87059
ABMD,12.703,12.621,12.22,12.117,11.49
ACN,3382.071,3410.209,3512.221,3485.513,
ATVI,2950,2948,2675,2676,3604
ADBE,4138.267,4711,4697,4726,
AMD,1111,728,699,894,578
AAP,3188.357,3242.461,4182.09,3712.807,3490.479
AES,20090,20450,21090,21373,21346
AFL,6233,6569,6758,7771,7825
A,2407,2654,2677,2508,
APD,3326,3705.8,3706,8590.8,7907.8
AKAM,2207.157,2671.435,2671.192,2685.093,2708.658
ALK,3353,3207,3903,4285,5425
ALB,2063.14,3188.08,3283.899,3676.449,3678.727
ARE,7008.297,7049.287,7598.308,7814.98,8149.216
ALXN,2700.1,2757.5,2632.8,2607.8,2767.7
ALGN,57.071,59.2,73.97,71.479,86.192
ALLE,1427.1,1509.1,1507.3,1502.9,1461.2
LNT,6558.5,6543.6,6461.6,6765.2,7003
ALL,7172,7217,6633,6634,6635
GOOGL,13748,15967,16804,17279,27542
GOOG,13748,15967,16804,17279,27542
MO,27903,28042,29971,29042,29255
AMZN,74591,77535,78151,90671,96089
AMCR,6367.3,6790.4,7104.7,6784.4,7044
AEE,9569,9833,10350,10648,10801
AAL,34440,33444,34073,40049,41205
AEP,29736.5,30839.3,33327.4,32776.9,33391.1
AXP,61292,64277,56085,50364,46493
AIG,35262,36083,36710,39280,38237
AMT,28406.7,31060.3,31192,31796.3,31694
AWK,9247,9547,10402,10666,10778
AMP,5215,5169,3920,4524,4934
ABC,4493.41,4706.662,4671.152,4661.846,4119.52
AME,2609.202,2954.386,3426.951,3039.158,2973.345
AMGN,30277,30431,31848,34224,34287
APH,4135.6,3806.1,5092.4,3766.1,3815.2
ADI,5491.919,5794.19,5907.394,5912.506,
ANSS,107.873,608.499,549.342,546.368,545.9
ANTM,20870,20725,22679,22484,21833
AON,8408,8569,9221,9174,8857
AOS,371,334.7,391.2,330.1,159.9
APA,8713,8932,9014,8940,9044
AIV,4334.41,4562.897,4802.532,4892.183,4406.797
AAPL,108047,116751,118761,122186,122278
AMAT,5313,5474,7059,5706,
APTV,4804,4787,6625,4534,4424
ADM,9719,9877,13490,10258,9246
ANET,102.644,99.074,78.502,74.259,74.903
AJG,4893.8,5034,5212.1,4951.9,4876.2
AIZ,3699.5,3686.4,3821.4,3713,2008.6
T,190917,188402,189296,194668,184417
ATO,3994.367,4555.431,4759.965,4765.772,4768.731
ADSK,2043.5,2544.6,2083.6,2083.2,
ADP,6325.4,2469.3,2464,2458.1,2419
AZO,8222.366,8376.863,8320.587,8306.275,
AVB,7497.984,7436.758,8276.482,7813.717,7746.505
AVY,2143.4,2079.8,2820.3,2266.2,2144.1
BKR,7822,7464,6495,7700,7689
BLL,7226,8056,8251,7922,7993
BAC,486284,440262,456873,458660,464353
BK,63878,63990,43287,69383,66633
BAX,5657,5961,7018,6862,6977
BDX,19390,19850,21614,19163,17931
BRK.B,113152,114531,109524,112078,113081
BBY,4097,4069,5303,4193,
BIO,677.571,651.134,659.905,657.379,657.008
BIIB,6434.6,6441.1,6365.4,7838.6,7834.1
BLK,6842,5731,6707,7964,7983
BA,25881,28532,38927,61379,60959
BKNG,9111,9251,8990,12023,12209
BWA,2162,2045,1950,3059,2836
BXP,12259.522,12236.028,12488.864,13479.704,13482.786
BSX,11200,10351,10604,9795,9592
BMY,25529,47538,47530,47510,45807
AVGO,32798,45381,46511,44669,
BR,2013,2101.6,2406.6,2111.1,2085.5
BF.B,2504,2353,2655,2705,
CHRW,1525.548,1556.057,1770.21,1437.916,1498.97
COG,1257.396,1255.826,1255.782,1255.342,1196.333
CDNS,464.056,456.359,696.205,696.394,696.584
CPB,8600,6084,6948,6447,
COF,51894,40600,55681,44900,42795
CAH,8488,8440,7840,7220,6740
KMX,15572.254,15933.556,15410.687,15831.387,
CCL,11502,14418,22250,26342,
CARR,#N/A,#N/A,11955,12717,12650
CTLT,3000.2,2978,3287.2,3120.8,3058.7
CAT,38546,38291,37093,38622,38126
CBOE,923.3,923,1006,1016.6,1086.7
CBRE,4438.326,4066.156,4349.075,4384.277,4396.357
CDW,3808.4,3908.4,3946.9,4516.6,4743.6
CE,3940,4115,4309,4246,4320
CNC,7818,14509,18271,17847,18063
CNP,14949,15175,15256,12886,13321
CERN,1171.824,1172.537,1338.417,1338.467,1336.018
CF,4971,4240,4749,4242,4248
SCHW,8092,8080,8522,8526,7836
CHTR,76100,80333,80894,79614,80940
CVX,36916,30858,32351,34053,34810
CMG,2811.737,2854.139,2943.136,3006.374,3090.955
CB,15636,17185,17089,17204,18368
CHD,2345.2,2223.5,2947.8,2044.4,1979
CI,38753,37407,36487,36524,36447
CINF,885,884,960,967,967
CTAS,2913.237,2909.993,2705.431,2705.396,
CSCO,19644,17071,17082,15585,
C,472515,463488,546573,538853,521020
CFG,14616,15307,17496,9457,9361
CTXS,1011.065,999.333,2183.226,1930.226,1927.262
CLX,3098,3152,3282,3136,3113
CME,4423.6,4399.2,4174.8,3975.7,4074.3
CMS,13243,13293,14337,15225,15135
KO,43805,44155,50393,52333,52867
CTSH,1700,1711,3399,3467,3483
CL,8804,8483,7846,7392,7236
CMCSA,110610,109579,108743,109977,109591
CMA,7720,7707,9697,7273,5764
CAG,10745.6,10283.5,9997.9,9616.8,
CXO,4440,3989,3956,3957,3856
COP,15725,15827,14973,14998,15387
ED,21629,22539,23601,23824,23900
STZ,12937.3,12744.8,12174,11600.6,
COO,1826.3,2049.4,2163.5,2149.3,
CPRT,540.887,519.281,516.289,518.192,
GLW,7039,8252,8462,8499,8773
CTVA,4276,688,2610,2631,3244
COST,9818,8775,12511,11086,
CCI,23626,23931,24562,27035,25333
CSX,17290,16788,17221,16987,16967
CMI,3118,2868,3835,4316,4567
CVS,89678,89002,92319,92051,87273
DHI,3399.4,3820.9,4428.6,4335.4,4283.3
DHR,18603.8,22526,25971.5,22387.2,21825.8
DRI,5714.1,5756.8,6009.8,5750.1,
DVA,11192.255,11175.946,11678.857,12871.208,11106.072
DE,45334,45260,50462,48791,
DAL,16404,17255,22971,30745,41440
XRAY,1575.7,1598.6,1562.5,2284,2331.5
DVN,4558,4555,4554,4552,4550
DXCM,1110.7,1160.1,1178.4,1761.6,1818.5
FANG,4761,5386,5677,5952,5847
DLR,11791.682,10994.073,13682.624,13822.773,14318.82
DFS,24454,25701,26098,23194,32541
DISCA,16299,16372,15874,15283,15317
DISCK,16299,16372,15874,15283,15317
DISH,14536.443,14282.3,14509.358,13396.871,14214.685
DG,11392.472,11696.481,12915.614,13229.618,
DLTR,10108.8,10031,10423.5,10290.5,
D,41331,38427,39724,40556,38398
DPZ,4350.498,4340.806,4407.326,4344.326,
DOV,3260.283,3243.421,3463.018,3505.87,3137.716
DOW,20261,19156,20193,19542,19267
DTE,15927,17610,18700,19078,19822
DUK,62051,62901,65835,66061,65522
DRE,2812.603,2961.667,3146.611,3118.986,3189.928
DD,18184,18001,18130,19746,24820
DXC,10797,10491,11493,13712,11321
EMN,6406,5978,6480,6316,6042
ETN,8478,8774,8763,8588,8524
EBAY,8412,8422,9195,9088,8134
ECL,7316.6,6932.5,8341.7,7729.1,7350.1
EIX,19260,19595,21984,21414,22859
EW,670.7,678.8,675.2,684.5,690.1
EA,1251,1238,1220,1071,1082
EMR,5721,6518,8202,7733,7486
ETR,19677.3,20119.208,21400.359,21429.592,22060.884
EOG,6046.663,5974.808,5544.536,5976.904,5976.09
EFX,3309.4,3483.2,3508.2,4375.8,4377.4
EQIX,12259.682,13287.317,13079.581,15470.082,13742.019
EQR,9325.248,9368.29,8963.417,8751.994,8726.414
ESS,6125.636,5885.613,6572.057,6395.038,6685.028
EL,6096,7871,8860,8789,8094
ETSY,867.915,873.468,853.587,860.558,1110.096
EVRG,9950,10100.6,10390.4,10414.8,10243.7
ES,15652.363,15631.055,15654.168,15453.949,16415.118
RE,698.915,711.102,849.259,784.449,788.083
EXC,39310,39331,40025,40135,39160
