,Q3 2019 Shareholder's Equity,Q4 2019 Shareholder's Equity,Q1 2020 Shareholder's Equity,Q2 2020 Shareholder's Equity,Q3 2020 Shareholder's Equity
ESS,6225.1,6220.427,6228.165,6166.074,6082.997
ETH,370.447,362.788,339.224,328.065,332.941
ETSY,389.262,406.634,406.847,524.175,666.667
EVR,764.683,869.716,816.571,900.528,970.926
RE,8983.258,9132.925,8580.944,9286.299,9591.292
EVRG,8619.3,8571.9,8529.2,8547.8,8802.1
ES,12121.614,12629.994,13209.956,13805.258,13980.017
EVTC,245.201,267.187,259.037,274.885,306.137
EXEL,1603.717,1685.97,1747.652,1833.324,1852.031
EXC,32023,32224,32482,32703,32884
EXLS,647.683,670.001,655.904,680.928,709.928
EXPE,4184,3967,2270,2756,2654
EXPD,2207.385,2195.028,2034.806,2159.118,2502.029
EXPO,357.279,350.251,323.497,332.567,343.197
EXTN,489.099,409.538,379.628,345.12,325.976
EXR,2522.714,2539.961,2398.119,2375.69,2389.284
EXTR,93.849,50.927,16.4,5.398,9.911
XOM,189915,191650,182079,180183,177400
EZPW,744.949,751.6,677.553,679.912,#N/A
FNB,4820,4883,4842,4897,4951
FFIV,1761.497,1929.458,1998.194,2153.899,2232.268
FN,890.695,928.327,933.409,974.409,1000.703
FB,93999,101054,105304,110447,117731
FDS,691.878,716.76,792.958,896.375,
FICO,289.767,240.961,214.151,247.286,331.082
FARO,367.525,331.992,316.79,308.561,313.33
FAST,2585.7,2665.6,2656.6,2783,2885.6
FBK,744.835,762.329,782.33,805.216,1244.998
FRT,2469.928,2535.341,2502.107,2434.284,2327.859
FSS,604.2,641.6,636.2,655.4,679.8
FHI,950.497,1041.28,1042.933,1086.667,1151.576
FDX,18659,18831,18295,19462,
FOE,377.586,360.376,351.796,350.573,380.629
FIS,49195,49440,49167,49043,49031
FRGI,181.508,158.236,148.003,140.688,145.925
FITB,21404,21203,21873,22335,22951
FAF,4242.141,4420.484,4359.345,4565.4,4723.77
FBNC,834.982,857.524,862.198,867.891,880.818
FBP,2200.595,2228.073,2199.751,2214.834,2225.282
FCF,1039.03,1055.665,1057.924,1075.705,1072.831
FFBC,2261.313,2247.705,2179.383,2221.019,2247.815
FFIN,1205.098,1227.197,1526.362,1582.449,1619.501
FHB,2654.558,2640.258,2664.685,2701.897,2733.934
FHN,4700.612,4780.577,4760.149,4912.954,7848.711
FR,1692.547,1764.399,1753.466,1758.909,1845.191
FMBI,2339.599,2370.793,2435.707,2684.938,2664.171
FRC,9431.206,9851.107,10359.765,10575.928,11344.609
FSLR,5182.483,5096.767,5168.622,5226.796,5396.113
FCFS,1336.176,1350.035,1207.375,1232.78,1243.926
FE,7272,6975,6814,7143,7188
FISV,32669,32979,31843,31583,31692
FIVE,645.391,759.778,689.765,723.955,
FBC,1734,1788,1842,1971,2195
FLT,3900.31,3711.616,2796.229,2966.434,2937.75
FLIR,1869.65,1871.433,1704.58,1750.701,1808.866
FLO,1293.332,1263.43,1320.611,1336.488,1351.486
FLS,1744.335,1790.357,1659.43,1662.572,1673.421
FLR,1559.495,1487.752,1091.645,1091.722,#N/A
FMC,2649.2,2532.3,2675.4,2822.2,2944.5
FL,2427,2473,2314,2403,
F,35349,33185,29650,30824,33125
FORM,614.546,640.997,666.417,690.722,714.142
FORR,147.652,158.088,158.172,173.409,174.708
FTNT,1200.4,1321.9,536.3,543.9,713.2
FTV,7151.7,7387,7242.1,7395.3,7676.1
FBHS,2335.4,2426.6,2357,2461.8,2628.6
FWRD,561.145,577.182,565.841,566.292,552.196
FOSL,509.259,503.054,415.449,396.056,422.808
FBM,395.822,408.165,416.03,429.422,444.426
FCPT,672.829,721.05,698.051,693.52,754.241
FOXA,10320,10334,10114,10094,10791
FOX,10320,10334,10114,10094,10791
FOXF,396.62,422.2,429.706,633.064,683.927
FELE,775.194,796.545,751.179,773.864,810.569
BEN,9906.5,10081.6,9903.4,10114.2,10114.5
FSP,789.653,786.396,757.318,746.003,737.465
FCX,9444,9298,8855,8954,9236
FDP,1741,1719.2,1686.5,1695.2,1718.1
FCN,1461.234,1489.142,1468.684,1479.103,1474.497
FLGT,54.526,82.777,81.372,87.043,186.955
FULT,2324.016,2342.176,2285.748,2340.501,2390.261
FF,405.127,467.098,354.635,369.944,376.827
GME,617.1,611.5,435,352.3,
GCI,625.458,981.356,889.556,452.085,426.129
GRMN,4380.894,4793.496,4934.4,4740.861,5104.341
IT,919.657,938.593,890.275,991.219,1037.503
GATX,1786.5,1835.1,1831,1875.3,1930
GCP,513.8,538.7,506.9,513,625.6
GNRC,934.264,1032.382,1023.642,1097.73,1230.192
GD,13513,13577,13200,13890,14716
GE,27935,28316,35284,33674,33269
GIS,7712.3,7575.1,8058.5,8444.6,
GM,44554,41792,40113,39304,43341
GCO,573.448,619.343,475.822,460.864,
GNTX,1921.328263,1938.08782,1834.605633,1822.607413,1895.612299
THRM,451.593,472.65,470.381,469.321,511.796
GPC,3642.191,3674.707,3402.702,2849.275,3014.08
GNW,14387,14185,14449,14643,14756
GTY,584.921,589.439,586.475,594.508,617.786
ROCK,657.213,673.964,677.357,709.764,746.075
GIII,1260.302,1290.672,1246.234,1237.749,
GILD,20604,22525,22067,18027,17445
GBCI,1953.401,1960.733,2136.644,2203.715,2255.089
GLT,538.757,555.959,542.91,540.999,558.425
GKOS,190.116,673.272,641.299,662.424,661.563
GNL,1615.379,1697.631,1635.271,1594.511,1562.497
GPN,27774.634,27855.747,27320.811,27425.859,27745.657
GL,7312.531,7294.307,6520.282,7848.369,8224.908
GMED,1338.795,1402.452,1363.366,1336.915,1417.204
GLUU,186.33,203.087,210.54,364.974,390.371
GMS,696.039,707.326,633.981,681.871,
GGG,983.796,1024.931,1018.658,1026.968,1165.937
GHC,3052.01,3319.239,3206.055,3206.668,3239.813
LOPE,1381.83,1443.433,1448.008,1489.387,1520.983
GVA,1220.706,#N/A,#N/A,#N/A,#N/A
GPMT,1024.24,1020.136,962.059,965.336,935.462
GWB,1900.249,1920.669,1153.464,1160.644,1162.933
GDOT,927.184,927.356,988.005,1004.225,1008.873
GPRE,792.954,751.905,766.02,741.779,685.626
GHL,28.35,44.675,10.075,13.468,13.42
GEF,1133.1,1163.8,1083.2,1141.3,
GFF,477.763,494.693,476.454,508.455,700.151
GO,730.878,745.384,784.628,833.401,888.826
GPI,1186.3,1255.7,1174.6,1215.9,1356.9
GRUB,1500.711,1493.57,1477.857,1454.552,1466.025
GES,567.06,639.714,471.654,438.268,
HRB,-75.747,-318.379,71.041,135.277,
FUL,1222.347,1221.602,1218.374,1313.391,
HAE,583.754,574.58,587.109,608.569,667.923
HAL,9745,8012,6830,5189,5200
HALO,245.353,91.765,58.042,105.577,98.988
HWC,3586.38,3467.685,3421.064,3316.157,3375.644
HBI,1230.242,1236.595,873.571,1079.32,1149.533
HNGR,-14.206,9.504,-16,20.848,32.301
HAFC,574.527,563.267,552.958,547.436,563.203
HOG,1836.219,1803.999,1691.983,1623.705,1769.898
HLIT,241.05,252.446,236.322,230.282,234.457
HSC,705.74,741.58,710.853,715.179,714.292
HAS,1840.907,2995.53,2729.224,2604.007,2773.751
HVT,268.722,260.503,252.447,264.378,267.377
HE,2276.982,2314.553,2310.798,2325.691,2357.524
HA,1066.847,1081.796,924.366,825.933,717.215
HWKN,229.435,232.211,233.484,243.429,254.637
HAYN,296.275,303.626,303.612,295.124,301.501
HCA,-3565,-2808,-2962,-1786,-974
HCI,184.205,185.543,179.256,185.085,199.732
HR,1805.161,1900.009,1859.428,1929.361,1900.375
HCSG,455.299,460.305,438.179,449.687,464.75
HQY,1017.761,1030.295,1040.65,1340.336,
PEAK,5933.134,6085.058,7236.508,7098.673,6840.055
HSTM,333.893,338.168,335.416,339.424,336.265
HTLD,673.135,684.659,684.688,702.615,721.709
HSII,296.635,309.115,311.765,286.203,261.066
HELE,1161.684,1161.723,1221.752,1308.529,
HLX,1679.023,1699.591,1649.065,1654.7,1705.486
HP,4012.223,3975.537,3461.006,3396.057,3318.514
HSIC,2829.528,2998.044,2974.577,2991.087,3155.273
HFWA,804.127,809.311,798.438,793.652,803.129
MLHR,844.6,836.8,643,746.4,
HT,821.371,807.657,756.796,695.336,657.312
HSKA,153.683,154.364,270.638,270.047,274.882
HES,8908,8732,7200,6395,5916
HPE,17098,17189,16210,16155,
HXL,1417.8,1446.1,1421.1,1436.9,1499.4
HIBB,336.159,328.983,304.567,345.679,
HIW,2150.662,2152.397,2332.763,2315.717,2318.324
HI,754.1,1127.1,1009,1036.6,1059
HRC,1573.3,1619,1548.9,1652.4,1726.1
HLT,-208,-482,-914,-1299,-1324
HMSY,834.194,854.865,877.847,890.269,911.939
HNI,560.022,584.044,551.332,552.747,573.269
HFC,6020.208,5978.193,5594.161,5382.582,5336.143
HOLX,2115.7,2250.8,2086.1,2255.1,2705.2
HOMB,2469.389,2511.531,2430.271,2492.146,2540.799
HMST,691.136,679.723,677.314,694.649,696.306
HON,18109,18494,17644,18147,18074
HOPE,2031.284,2036.011,2018.088,2030.776,2040.561
HMN,1578.612,1567.285,1477.62,1639.811,1715.678
HRL,5921.458,6091.764,6162.062,6267.425,
HST,7499,7319,7064,6717,6402
HWM,4696,4607,4783,3449,3501
HPQ,-1193,-1634,-743,-1986,
HUBG,1044.556,1075.279,1088.709,1105.837,1135.011
HUBB,1903.1,1947.1,1914.9,1959.9,2016.8
HPP,3450.767,3426.608,3343.25,3312.653,3231.647
HUM,11601,12037,12355,14416,15768
HBAN,11909,11795,11769,12314,12917
HII,1705,1588,1643,1678,1880
IAA,-186.9,-137.2,-103.6,-67.4,-3.6
ICHR,207.19,221.416,229.52,238.19,254.667
ICUI,1340.335,1377.244,1375.893,1411.797,1452.22
IDA,2464.121,2464.628,2467.378,2495.805,2565.987
IEX,2163.053,2263.229,2229.787,2261.037,2396.529
IDXX,202.418,177.473,107.674,272.963,440.576
INFO,8415.8,8369,8108.4,8592.9,
IIVI,2131.194,2065.697,2017.907,2076.803,3046.677
ITW,2966,3026,2283,2357,2696
ILMN,4439,4613,4635,4563,4700
INCY,2422.527,2598.406,1937.721,2344.604,2390.833
IRT,597.768,613.279,623.653,610.982,603.531
INDB,1682.324,1708.143,1679.656,1671.692,1689.724
IBTX,2298.932,2339.773,2386.285,2424.96,2476.373
ILPT,1005.448,995.69,994.306,988.257,983.744
IR,1790.5,1869.9,8686.2,8574.9,8771.7
NGVT,443.3,530.8,502.1,522.9,617
INGR,2593,2720,2606,2646,2744
IOSP,881.8,918.5,943.8,899.2,925.5
IIPR,449.783,548.01,858.979,969.971,1269.996
INVA,267.055,313.495,379.543,456.907,485.556
INGN,343.146,344.621,347.3,351.114,352.5
NSIT,1102.638,1160.318,1150.569,1207.356,1262.891
NSP,40.988,4.079,-3.31,44.638,40.639
IBP,227.514,250.031,245.797,272.736,304.187
IIIN,246.017,246.18,250.831,257.066,264.803
ITGR,1128.578,1152.488,1164.201,1181.401,1232.997
IART,1384.974,1416.736,1341.803,1349.096,1397.987
INTC,74242,77504,76354,82010,74554
IPAR,457.261,468.004,462.024,465.988,499.46
IBKR,1405,1452,1486,1538,1609
ICE,17161,17255,16939,16953,19021
IDCC,782.106,761.557,752.649,769.419,783.271
TILE,357.378,368.202,238.655,258.196,287.02
IBOC,2067.924,2118.053,2142.511,2141.86,2141.055
IBM,17956,20841,19999,20551,21208
IFF,6055.819,6217.304,5827.85,5987.805,6078.207
IP,7441,7713,6857,7057,7093
INTU,3633,3727,4740,5106,
ISRG,7761.4,8263.8,8506.7,8740.5,9257.8
IVC,315.479,308.516,304.512,302.146,330.489
IVZ,13573.2,13862.5,13499.3,13602,13934
IVR,2911.032,2931.899,1410.381,1157.792,1211.14
IRET,564.141,635.613,600.749,628.777,648.693
IPGP,2380.111,2401.726,2355.069,2436.352,2470.213
IQV,6131,6003,5542,5591,5846
IRDM,1559.258,1459.282,1413.793,1409.16,1415.463
IRBT,622.885,652.069,616.539,682.062,781.914
IRM,1510.83,1463.962,1123.675,1024.3,937.359
STAR,1104.116,1040.422,968.118,921.932,900.76
ITRI,737.289,776.538,770.74,777.799,771.896
ITT,1997.6,2074.9,2012.4,2051.8,2020.9
JJSF,833.751,842.52,833.068,810.6,809.498
JBHT,2193.529,2267.029,2282.418,2390.843,2487.424
JCOM,1084.368,1311.192,1241.081,1263.168,1176.337
JBL,1835.686,1746.831,1632.302,1811.384,
JKHY,1476.66,1486.746,1513.863,1549.688,1543.75
JACK,-737.584,-841.153,-876.926,-826.957,-793.361
J,5714.691,6004.425,5561.783,5835.813,5815.712
JRVR,768.969,778.581,720.317,795.711,821.406
JHG,4722.1,4886.5,4375,4410.8,4515.5
JAZZ,3054.405,3110.981,2808.5,3141.805,3377.201
JBGS,3413.905,3386.476,3490.951,3440.495,3369.759
JEF,9704.705,9473.955,9451.554,9535.665,
JBLU,4764,4799,4366,4094,3717
JBSS,234.05,228.916,243.268,238.238,223.299
JBT,523.7,569.5,570.7,596.6,611.4
JW.A,1178.996,1197.235,933.624,973.745,
JNJ,58210,59471,61294,62978,64473
JCI,19766,19329,18084,17805,17447
JLL,4784.3,5118.1,4947,5026.2,5203.7
JPM,264348,261330,261262,264466,271113
JNPR,4642.4,4610.6,4390.7,4464.3,4560.8
KALU,751.4,733.9,721.1,718.8,719.3
KAMN,788.944,823.202,797.229,803.396,770.678
KSU,4874.5,4422.5,4438.1,4420.5,4468.1
KAR,1635.8,1650.2,1571.8,2082.7,2147
KBH,2383.122,2443.104,2490.354,2565.308,
KBR,1797,1843,1630,1615,1688
K,2727,2747,2674,2870,3044
KELY.A,#N/A,,,,
KMPR,3894.2,3972.3,3760.8,4187.9,4347.5
KMT,1298.566,1306.168,1260.623,1229.885,1225.386
KEY,17116,17038,17411,17542,17722
KEYS,3004,3127,3085,3354,
KRC,4264.649,4293.51,4992.15,4972.291,4968.142
KMB,-141,-33,-167,268,335
KIM,4901.881,4864.892,4809.591,5556.511,5474.958
KMI,33633,33742,33106,31753,31559
KNSL,390.036,405.88,401.334,456.114,534.131
KEX,3371.521,3368.623,3022.709,3048.88,3075.263
KRG,1302.167,1289.038,1252.831,1248.215,1242.067
KREF,1124.071,1123.712,1032.306,1032.503,1041.058
KLAC,2661.163,2669.764,2307.433,2665.424,2747.184
KNX,5603.118,5666.215,5688.059,5763.46,5879.02
KN,1257.3,1288.5,1253.8,1243.8,1264.6
KSS,5355,5450,4790,4837,
KTB,55.571,69.257,-18.485,-44.889,26.028
KOP,100.4,147.3,99.1,175.9,281.4
KFY,1255.931,1275.1,1221.381,1215.658,
KRA,782.27,751.443,1026.487,1023.41,620.386
KLIC,769.063,775.653,762.398,749.644,757.994
LB,-1242,-1499,-1861,-1908,
LHX,22773,22740,21898,22102,21313
LH,7231.1,7567,7020.1,7352.7,8239.1
LRCX,4936.393,4379.429,4537.607,5172.494,5419.185
LAMR,1167.821,1180.306,1137.784,1123.371,1139.053
LW,201.1,270.4,240,332,
LANC,749.665,772.758,773.284,783.3,801.106
LSTR,755.975,721.469,627.095,649.121,705.634
LCI,318.104,325.172,310.538,302.896,299.315
LNTH,101.166,114.601,118.398,515.583,513.579
LPI,1079.252,841.874,1079.67,376.02,141.512
LVS,5359,5187,4489,3720,3199
LZB,695.199,713.897,700.753,707.574,
LCII,777.381,800.672,807.803,816.63,875.562
LEA,4203.8,4349.7,4023.5,3867.7,4132.8
LEG,1255.2,1312,1238.2,1214.2,1299.5
LDOS,3246,3413,3355,3538,3706
LMAT,142.316,148.141,148.835,152.629,160.983
TREE,389.264,402.326,423.557,405.977,361.009
LEN,15949.517,16044.599,16542.703,17172.103,
LII,-277.3,-170.2,-318.3,-228.9,-115.7
LXP,1571.737,1705.107,1683.195,1872.771,1893.36
LGIH,777.047,845.193,859.605,918.782,1012.67
LHCG,1389.036,1413.323,1430.236,1477.245,1494.648
LSI,2135.318,2132.894,2147.719,2132.681,2249.888
LGND,850.581,767.232,661.896,695.003,697.824
LECO,812.924,818.172,667.103,659.254,709.825
LNC,19999,19689,16575,20731,21549
LIN,48953,49074,44776,45537,46175
LNN,273,277.327,282.958,298.518,
LQDT,116.175,112.437,108.112,110.238,#N/A
LAD,1359.2,1467.7,1456.5,1532.2,1694.4
LFUS,1472.081,1495.883,1476.817,1462.303,1529.431
LIVN,1495.282,1383.717,1392.708,1333.186,1350.792
LYV,1287.273,1145.82,859.354,341.925,-99.43
LTHM,541.9,544,540.8,571.2,566.6
LPSN,163.062,148.535,146.386,143.314,123.695
RAMP,1186.358,1142.541,1087.512,1058.289,1050.862
LKQ,4817.767,5008.876,4957.835,5118.506,5388.188
LMT,3893,3127,3446,3751,4953
L,19420,19119,16966,17204,17372
LPX,1213,991,984,1000,1142
LOW,2458,1972,1716,4356,
LTC,785.434,776.943,797.629,778.894,770.417
LL,143.532,161.25,173.334,176.96,193.986
LUMN,13674,13470,13291,13462,13689
LITE,1561.3,1681.6,1734.2,1749.2,1816.1
LMNX,459.907,464.86,462.506,504.261,516.097
LDL,381.671,318.42,253.577,253.262,248.313
LYB,7888,8044,7324,7358,7306
MTB,15779.811,15716.649,15815.794,15945.105,16101.013
MDC,1701.801,1782.485,1811.077,1873.185,1987.999
MHO,954.641,1003.477,1037.681,1094.405,1174.74
CLI,1569.261,1493.699,1434.143,1399.033,1336.12
M,6057,6377,2697,2324,
MGLN,1362.472,1397.783,1431.603,1542.969,1579.152
MANH,151.65,142.278,125.869,152.778,187.977
MAN,2698.1,2743,2620.2,2526,2588.7
MANT,1454.956,1490.642,1510.349,1533.089,1553.716
MRO,12271,12153,11958,11175,10892
MPC,33738,33694,24088,23741,22453
MMI,472.104,494.911,509.296,512.913,521.034
HZO,368.819,380.747,387.077,425.025,455.397
MKTX,694.623,770.091,797.883,853.484,897.539
MAR,838,703,-20,-79,229
VAC,3112,3019,2759,2699,2658
MMC,7620,7793,7295,8226,8591
MRTN,582.857,597.589,609.38,629.398,644.708
MLM,5301.972,5350.8,5296.9,5491.1,5756.4
MAS,-143,-235,-348,-136,141
MASI,1108.359,1167.874,1253.278,1344.545,1414.804
MTZ,1674.601,1787.22,1685.51,1746.711,1873.345
MA,4949,5893,5398,6470,5796
MTDR,1795.307,1833.654,1991.349,1643.832,1371.933
MTRN,597.796,610.677,596.478,604.94,611.781
MTRX,357.427,322.795,311.426,307.889,306.02
MATX,797.7,805.7,800.2,815.5,891.8
MAT,453.658,491.714,157.883,86.148,404.507
MATW,718.106,714.42,590.147,601.107,610.807
MXIM,1781.286,1726.509,1619.943,1657.457,1711.019
MMS,1247.792,1299.005,1138.468,1194.947,1241.819
MXL,413.351,414.92,408.157,401.975,396.808
MKC,3444.2,3561.9,3649.9,3932.7,
MCD,-8599.2,-8210.3,-9293.4,-9463.1,-8472.1
MCK,6482,6174,5092,5446,5890
MDU,2795.606,2847.246,2836.592,2897.687,3012.765
MPW,5973.54,7028.047,6982.403,7067.171,7207.641
MED,111.2,104.832,110.749,116.736,140.014
MD,1479.36,1498.996,1487.396,826.57,804.761
MEDP,692.007,726.283,717.799,738.069,791.629
MDT,50578,51808,50737,50296,
MERC,591.387,550.403,462.768,494.26,550.707
MRK,26838,25907,26205,27642,29186
MCY,1802.544,1799.502,1623.444,1816.815,1900.832
MRCY,1295.278,1317.056,1349.433,1384.784,1407.892
MDP,1473.3,1479.5,1145.9,388.2,448.5
VIVO,190.967,197.292,204.533,233.335,247.629
MMSI,949.241,949.944,939.798,928.847,933.837
MTH,1873.566,1973.99,1990.766,2084.601,2199.849
MTOR,385,352,392,371,462
MLAB,229.157,234.171,220.013,382.234,392.412
CASH,839.911,832.763,801.312,826.122,843.705
MEI,732.6,772.9,783.4,813.8,
MET,68368,66144,70221,75693,73316
MTD,438.301,420.78,306.397,450.093,443.067
MTG,4159.617,4309.234,4241.828,4383.355,4513.622
MGM,6060.552,7727.265,8173.914,7374.789,6861.104
MGPI,219.42,231.044,235.565,242.697,252.001
MCHP,5361.3,5616.6,5585.5,5501.3,5443.7
MU,36500,37023,37820,38996,
MSFT,106061,110109,114501,118304,123392
MSTR,515.419,508.559,461.426,458.46,389.292
MAA,6016.452,6068.565,5997.419,5954.834,5904.072
MTX,1402.7,1402.7,1379.8,1406.5,1438.1
MKSI,1973.531,2023.344,2052.5,2126.6,2226.8
MHK,7758.768,8119.841,7841.368,7918.812,8160.657
MOH,1831,1960,1647,1996,2201
