Symbol,Q3 2019 Shares Outstanding,Q4 2019 Shares Outstanding,Q1 2020 Shares Outstanding,Q2 2020 Shares Outstanding,Q3 2020 Shares Outstanding
MKC,247.14,247.198,247.282,247.89061,
MCD,753.0933,753.0933,745.44666,743.55615,744.10254
MCK,180.1879,176.93044,177.08102,162.1156,160.56442
MDU,199.059,200.384,200.522,200.522,200.522
MPW,459.778,517.44037,522.435,528.641,528.82947
MED,11.836,11.615371,11.765154,11.78097,11.765496
MD,84.21257,84.298,84.277,85.40925,85.46173
MEDP,35.697,36.03,35.484474,35.374485,35.757454
MDT,1341.669,1340.378,1340.166,1341.2988,
MERC,65.63,65.63,65.63,65.8,65.86809
MRK,2560.375,2545.984,2536.269,2524.101,2529.241
MCY,55.355,55.355,55.358,55.358,55.357693
MRCY,55.467,55.537,55.589,55.598732,56.000595
MDP,40.137,40.198105,40.25348,40.304543,40.390068
VIVO,42.711,42.827,42.829,42.83286,42.8626
MMSI,55.175,55.209,55.217,55.384037,55.484184
MTH,38.281,38.299,37.597458,37.597458,37.603516
MTOR,81.4,78.12824,73.91003,72.25928,72.3
MLAB,4.358,4.365,4.37,5.086536,5.103451
CASH,37.879,37.584,34.607964,34.607964,34.627598
MEI,37.091,37.091,37.091,37.52974,
MET,919.6,919.631,915.828,907.58875,907.6625
MTD,24.3542,24.3542,23.981,23.907528,23.971266
MTG,348.709,348.709,340.8603,338.56702,338.5735
MGM,513.9138,514.984,492.691,493.21768,493.28116
MGPI,17.025,17.027,17.052,16.895521,16.913313
MCHP,238.044,238.978,239.538,252.44952,252.4515
MU,1107.051,1110.874,1112.186,1110.9984,
MSFT,7635.409,7628.8057,7606.047,7583.4404,7567.653
MSTR,8.204,8.081,7.728917,7.728917,7.673402
MAA,114.044,118.31357,114.27966,114.365204,114.365204
MTX,35.06261,34.854996,34.473835,34.111702,34.119514
MKSI,54.485,54.51,54.871,54.96431,55.125263
MHK,72.152534,71.622,71.673,71.672775,71.195045
MOH,62.711,62,60.846,59.2,59.3
TAP,196.23032,196.249,196.27,196.47202,196.56804
MCRI,18.05,18.082,18.141,18.18583,18.189562
MDLZ,1442.151,1439.824,1432.943,1427.4641,1428.3384
MPWR,43.244,43.616,44.602,44.74,44.913
MNRO,33.224,33.272,33.284,33.284355,33.2859
MNST,544.879,537.682,536.896,526.5636,527.3964
MCO,189.2,188.8,187.208,187.5,187.7
MOG.A,32.503,32.222,31.332012,30.003471,30.003471
MS,1624,1618.5979,1576,1575.6564,1576.761
MPAA,18.89,18.958,18.965,18.97238,19.020588
MSI,166.556,171.336,171.553,170.06734,169.7871
MOV,16.412,16.414,16.424,16.521046,
COOP,91.07558,91.087,91.118,91.97003,92.02198
MSA,38.719,38.738,38.858,38.850475,38.883633
MSM,45.045,45.199,45.427,45.525463,
MSCI,84.699,84.707,85.01475,85.01475,83.63718
MTSC,19.334452,19.159,19.186,19.235943,19.276522
MLI,56.666,56.952,56.995,56.772346,56.791916
MUR,157.23004,152.93536,153.169,153.573,153.59862
MUSA,30.759651,30.759651,29.177637,29.177637,28.567717
MYE,35.494,35.52,35.725,35.76795,35.79483
MYRG,16.644,16.648,16.657,16.6858,16.708925
MYGN,73.866,74.389,74.55,74.5547,74.70931
NBR,7.26916,7.26832,8.386623,7.29978,7.295792
NDAQ,164.688,163.915,165.012,164.07085,164.2584
NBHC,31.139,31.171,30.778494,30.562456,30.569012
FIZZ,46.626,46.563,46.616,46.62563,
NFG,86.314865,86.325,86.561,86.5609,90.95427
NATI,131.885,131.059,130.759,130.59508,131.43611
NOV,385.896,385.832,385.947,388.22302,388.2837
NPK,6.995,6.997,7.006,7.019214,7.021388
NNN,171.63664,171.638,171.963,171.96416,173.54007
NSA,59.296,59.659107,68.027214,68.14377,69.17787
NTUS,34.06933,34.09,34.105,33.80204,33.87137
NAVI,221.03673,221.03673,193.33313,193.814,186.28008
NBTB,43.777,43.792,43.845,43.587,43.61134
NCR,127.38512,127.6,129.208,127.8,128.4
NP,16.861,16.815,16.848,16.79145,16.802189
NKTR,175.274,175.922,177.557,177.98985,178.89977
NEOG,52.423,52.711,52.911,52.96399,
NEO,103.85892,104.408,104.832,109.735245,110.43063
NTAP,237.91255,228.22621,221.17703,221.93379,
NFLX,438.25128,438.251,438.807,439.80405,441.01544
NTGR,31.11348,30.147505,29.453999,29.549393,29.903517
NTCT,74.83804,74.83804,73.855225,72.22091,72.45517
NJR,89.98,95.5026,95.571,95.75202,95.93019
NYCB,467.362,467.351,467.301,463.93704,463.90967
NYMT,262.62262,291.37103,377.468,377.4654,377.74448
NWL,423.4,423.4,423.5,424.1,424.3
NEU,11.188,11.189,10.938744,10.938744,10.923999
NEM,819.894,819.839,807.788,802.5846,803.0711
NWSA,385.645,388.557,388.636,388.85687,388.9937
NWS,199.63,199.63,199.63,199.63023,199.63023
NXRT,24.799906,25.034,25.297,24.299452,24.29865
NEE,1955.004,1955.104,1955.864,1957.8002,1958.5911
NXGN,64.668434,64.668434,65.70126,66.105064,66.66936
EGOV,66.96,66.965,66.968,66.97003,67.021355
NLSN,355.674,355.81,356.369,356.4756,356.75397
NKE,1246.028,1242.356,1240.017,1244.8713,
NI,373.347,373.54373,382.26334,382.79947,383.02304
NMIH,67.768,67.981,68.438,84.80476,84.80516
NDSN,57.49,57.741,57.858,57.68028,
JWN,154.915,155.253,156.346,157.03285,
NSC,260.74667,260.74667,256.17914,256.17914,255.10925
NTRS,211.882,209.709,209.267,208.05203,208.09264
NFBK,49.253983,49.175,49.291927,49.291927,53.12601
NOC,169.198,168.533,167.637,166.70273,166.71407
NWBI,106.643,106.673,106.934,127.57333,127.80558
NWN,30.443,30.436,30.484,30.528957,30.547293
NWE,50.443,50.447,50.495,50.494915,50.57605
NLOK,618.0316,623.247,600.38416,589.0287,591.0029
NCLH,212.75752,213.08241,213.203,256.34695,275.6189
DNOW,108.797,108.8,109.20768,109.308266,109.37962
NRG,252.98788,252.988,250.54181,244.08707,244.13785
NUS,55.547,55.547,55.547,51.899033,51.387184
NUE,303.157,303.215,301.132,301.13474,301.89508
NUVA,52.066498,52.074,52.149,51.24846,51.25271
NVT,169.11351,169.15,169.493,169.84955,169.92958
NVDA,609,612,612.486,615,
NVR,3.698185,3.632772,3.688,3.680823,3.702385
OXY,894.4798,893.317,899.50305,918.20233,930.14215
OII,98.93,98.93,99.267,99.267914,99.28661
OPI,48.111664,48.203,48.202,48.201,48.2278
OFG,51.347057,51.347057,51.419,51.340584,51.34223
OGE,200.176,200.176,200.177,200.169,200.16985
OI,155.63051,155.631,155.908,156.95584,157.1657
OIS,60.508,60.503,60.989,60.94113,61.03063
ODFL,120.00942,119.73599,119.54593,117.948166,117.33144
ONB,170.031,170.031,165.109,164.76176,165.093
ORI,303.201,303.57,303.793,303.99268,304.03564
OLN,159.67134,157.7,157.825,157.85115,157.86205
OLLI,63.589,63.662,63.749,65.75329,
ZEUS,10.899,10.996,10.996,10.986068,11.0749
OHI,218.29091,226.631,226.81,226.9017,226.97108
OMCL,41.6557,41.9381,42.465813,42.619694,42.763115
OMC,217.5237,217.732,216.868,214.28288,214.86873
OGS,52.735,52.737,52.859,52.86556,52.920532
OKE,412.968,413.085,413.319,444.00632,444.20193
OSPN,40.33527,40.201,40.271,40.31363,40.34529
ONTO,24.83,50.062,50.38169,48.55237,48.81539
ORCL,3282.517,3207.649,3153.584,3068.682,
OSUR,61.725,61.726,62.74809,71.266,71.55844
ORLY,75.72778,75.659,74.252,74.22565,73.27238
OFIX,19.031,19.055,19.179,19.202587,19.327526
OSK,68.39524,68.258,68.31,68.0707,68.10625
OSIS,18.219,18.357,18.305,18.011234,18.080418
OMI,62.958,62.852,63.05,63.007805,63.765194
OC,108.792,108.787,108.244,107.84123,108.01419
OXM,17.035,17.04,16.750402,16.717987,
PCAR,346.36914,345.874,346.392,345.7269,346.14893
PPBI,59.35868,59.364,59.556,93.973465,94.35187
PCRX,41.635,41.731,42.033,42.12075,42.742176
PKG,94.663,94.658,94.85,94.84278,94.83502
PACW,119.83119,119.78161,117.91679,118.3746,116.749985
PLMR,23.469,23.469,24.21875,25.254862,25.46832
PZZA,31.785294,31.946,32.285,32.466248,32.81422
PARR,51.008846,51.182,53.6,53.863007,53.96521
PKE,20.518,20.519,20.518824,20.381426,
PK,240,239.387,239.982,235.59425,235.60466
PRK,16.414,16.346,16.27,16.296427,16.300768
PH,128.499,128.465,128.363,128.2174,128.79807
PATK,23.869,23.764,23.594223,23.504223,23.448725
PDCO,95.552,95.72,95.806,95.975,
PTEN,202.60684,194.54163,192.15176,186.503,187.4061
PAYX,357.944,358.386,358.715,358.76968,
PAYC,58.420666,57.66,58.832,57.43308,58.532913
PCTY,53.082,53.513,53.609,53.686172,53.81348
PYPL,1176.675,1174.192,1172.955,1174.1609,1173.2998
PBF,119.894,119.844,119.785,119.9866,120.14834
CNXN,26.318,26.345,26.345,26.10745,26.125677
PDCE,62.649,61.6167,99.429,99.54292,99.600044
PDFS,32.443,32.35,32.781567,32.795326,36.521286
PEB,130.633,130.634,130.959,130.75626,130.86519
PENN,115.870155,115.913,116.864,133.46478,155.16005
PVAC,15.107,15.123,15.158,15.158,15.175667
PMT,87.807434,100.18223,100.34,99.84139,99.27526
PNR,168.04913,168.093,165.72519,165.72519,165.90877
PEN,34.793,34.914,35.071007,35.940315,36.10744
PBCT,392.57,444.12396,424.66156,424.65762,424.77707
PEP,1394.435,1389.241,1387.5005,1384.6328,
PRDO,70.111,70.377,69.05348,69.06147,69.13075
PRFT,32.841,32.611,32.892,33.082455,33.248756
PKI,111.076,111.101,111.304,111.386185,111.814514
PRGO,136.055,136.11,136.127,136.3,136.4795
PRSP,162.297,161.774,161.472,160.58405,160.75807
PETS,20.175,20.175,20.166,20.166382,20.272072
PFE,5531.048,5534.122,5547.639,5554.834,5556.88
PGTI,58.586,58.405,58.58,58.925777,58.962776
PAHC,20.288,20.288,20.288,20.287575,20.287575
PM,1555.84,1555.875,1557.106,1557.1295,1557.2874
PSX,444.35757,444.358,437.838,436.6747,436.69666
PLAB,67.197,65.41637,65.119736,65.6224,
DOC,185.317,189.9754,202.55693,202.55948,208.14417
PPC,249.308,249.57,249.217,246.73787,244.03157
PNFP,76.95,76.565,76.41211,75.848015,75.84424
PNW,112.304,112.411,112.439,112.49346,112.55697
PXD,167.144,165.647,165.715,164.86322,164.27617
PIPR,13.7,14.357301,17.318184,17.949955,17.92934
PBI,170.90002,170.848,171.35481,172.62689,173.08212
PLT,39.576,39.916,39.928,40.68356,40.743645
PLXS,29.004,29.247,29.355,29.186367,29.245564
PNM,79.653625,79.653625,79.653625,79.653625,79.653625
PII,61.123,61.173,61.565,61.249313,61.338505
POOL,39.922,40.038,40.256,39.935524,40.075874
POST,72.1,70.719,69.90671,68.17734,67.70434
PCH,67.187,67.221,67.352,66.95163,66.871284
POWL,11.567,11.589,11.597,11.614013,11.614613
POWI,58.662,58.844,59.412,59.68016,59.77432
PPG,236.293,236.463,235.91,235.92343,235.97736
PPL,722.247,723.033,767.8136,768.7635,768.783
PRAA,45.409,45.411,45.416,45.5412,45.579483
PRAH,62.795364,63.248,63.563,63.625744,63.961025
PFBC,15.325319,15.325319,14.933768,14.902,14.902
PBH,50.241295,50.233,50.266,50.18886,50.18886
PSMT,30.537,30.613,30.601,30.64899,
PRI,41.880768,41.35963,41.108,40.778957,39.51953
PFG,278.796,277.672,274.688,273.86777,274.5187
PRA,53.76,53.791,53.793,53.844494,53.889233
PRG,67.547,67.152,66.745,67.571556,67.14056
PRGS,44.786,45.101,44.788,45.035854,
PLD,631.129,641.73,739.09,738.582,738.768
PUMP,100.42,100.42,100.42,100.84984,100.898445
PB,68.397,94.404,92.652,92.66071,92.66046
PRLB,26.882,26.759,26.788,26.612751,26.706556
PFS,65.76047,65.989,66.045,65.74118,78.74184
PRU,402,402,396.044,395,395
PSB,27.431,27.437,27.441,27.479439,27.482494
PTC,115.179,115.493,115.494,115.695435,116.11797
PEG,505.636,505.726,505.127,505.62534,505.75558
PSA,174.598,174.68,174.637,174.79274,174.8028
PHM,274.2187,271,269.48007,268.1485,268.17767
PVH,74.14381,72.95832,70.883446,70.937096,
QEP,237.913,237.792,242.18239,242.18239,242.32483
QRVO,117.785,116.17413,115.685,114.42393,114.23646
KWR,17.667072,17.732,17.733,17.758644,17.799606
QCOM,1215.6577,1141.8448,1143.043,1124.928,1128.2659
QLYS,39.23857,38.76228,39.092,38.95898,39.246506
NX,33.162,33.083,32.948,32.80174,
PWR,142.182,142.294,137.64598,137.6466,138.84335
DGX,134.67,134.697,133.45506,133.73183,134.30263
QDEL,41.441,41.652,41.88,41.999004,41.950138
QNST,50.96666,51.225,51.697,51.95255,52.666943
RCM,112.15132,112.865,114.463005,114.89449,115.57897
RDNT,50.127,50.312,50.694374,50.399673,51.57476
RL,51.84,49.735134,48.861816,47.777206,48.163406
RMBS,111.12744,111.493,113.273,113.27523,113.74365
RRC,251.369,251.427,254.71533,255.74733,256.08014
RAVN,35.927,35.76,35.78,35.834675,
RJF,138.843,138.723,139.284,137.03052,137.15977
RYAM,63.249977,63.211,63.18,63.250767,63.351227
RYN,129.63,129.313,129.333,136.3323,136.51212
RTX,862.919,863.098,866.1649,1516.2689,1527.6553
RMAX,17.833158,17.836,18.123962,18.123962,18.372133
RC,44.421814,51.097885,52.027,54.837696,54.872787
RLGY,114.324,114.341,115.252,115.3723,115.43635
O,325.91,333.6191,344.05222,343.41605,345.03934
RRGB,12.968,12.94,12.883,12.913659,15.540955
RWT,112.09002,112.689514,114.353806,114.9402,111.90432
RBC,41.93492,40.942184,40.654,40.519714,40.578842
REG,167.557,167.564,167.71588,169.62903,169.62903
REGN,107.983,107.947,108.171,110.67331,104.54343
RGNX,36.807,36.874,37.139,37.24112,37.334015
RF,964,964.639,957.393,959.6796,960.16565
RGS,35.548035,35.548,35.566,35.624172,35.665775
RGA,62.761,62.611,61.635956,61.648136,67.93586
RS,66.655,66.657,63.640762,63.640762,63.75815
RNR,44.162,44.162,44.03362,50.810425,51.21678
RNST,57.455307,57.249,56.183,56.15758,56.18255
REGI,38.958744,38.964,39.014,39.04867,39.292152
RCII,54.270027,54.754436,55.230576,53.78091,53.825726
RGEN,51.530792,52.05885,52.084,52.305744,52.50259
RSG,320.751,319.1447,319.153,318.1,318.49335
REZI,122.779,122.818,122.937,123.14803,123.44317
RMD,143.671,143.786,144.617,144.66843,144.90065
RGP,32.027,32.14,32.144,32.144,
ROIC,114.312,115.996,116.796,117.64004,117.929054
RPAI,213.655,213.655,213.95,214.122,214.25262
REX,6.293,6.293,6.293,6.184646,
REXR,110.88427,113.7933,116.331345,122.68483,123.7892
RH,18.676039,18.99701,19.238682,19.290966,
RLI,44.787,44.836,44.921,44.922657,44.952602
RHI,117.561005,117.561005,115.1204,114.60224,114.63513
ROK,117.00764,115.667,116.184,115.82396,115.966965
ROG,18.56,18.572,18.662,18.662086,18.674828
ROL,327.486,327.442,327.777,327.76746,327.75882
ROP,104.002,104.058,106.109665,104.39664,104.710815
ROST,361.73,358.882,355.387,355.9216,
RCL,209.561,209.631,209,209.38538,214.66794
RGLD,65.56,65.592,65.573,65.581085,65.59104
RES,214.579,214.5,214.432,215.25966,215.12325
RPM,129.68,129.767,129.491,129.97212,
RPT,80.36,80.376,80.606,80.58606,80.94644
RUTH,30.056599,29.50104,29.315,34.19817,34.92344
R,53.335,53.292,53.9493,53.735966,53.81884
SPGI,246.3,244.4,240.69519,240.9,241
STBA,34.437,39.53684,39.463,39.24251,39.251637
SBRA,193.6969,202.31744,205.27448,205.559,205.56068
SABR,273.676,273.886,273.75604,275.52322,316.9642
SAFE,40.444,47.781788,51.034748,51.034748,51.109913
SAFT,15.384,15.384,15.383,15.309497,14.893698
SAIA,25.906,25.936,26.063,26.072708,26.14883
SAIL,89.123,89.211,90.043,90.185974,90.68117
CRM,877,887,895,899.41174,
SBH,116.725,116.32637,116.786,112.87068,112.85237
SAFM,22.153,22.229,22.238,22.239574,
SANM,69.598,69.977,70.645,68.20767,67.763794
BFS,23,23.1,23.2,23.2,23.2
SBAC,113.106,112.601,111.929,111.624886,111.938545
SCSC,25.241116,25.267,25.346,25.345789,25.361298
SLB,1383.005,1384.389,1388.162,1387.8129,1388.1017
SCHL,33.052,32.95,32.614513,32.525215,
SWM,30.896,30.897,31.192,31.195562,31.344604
SAIC,57.701393,57.72378,57.72378,58.11924,
SGMS,93.1431,93.252,93.871,94.47488,94.70511
SBCF,51.461,51.514,52.706856,52.990654,55.168617
CKH,20.087,20.179,20.179,20.333023,20.339642
STX,264.14484,262.711,260.956,256.6249,256.53696
SEE,154.526,154.516,154.671,155.66264,155.67648
SEIC,151.024,150.256,149.976,147.93196,146.50159
SEM,135.621,134.326,134.315,133.97707,133.97707
SIGI,59.37,59.402,59.708,59.70758,59.8121
SRE,274.55057,281.89594,292.393,292.5453,289.25967
SMTC,66.53,66.246,65.795,65.13203,
SENEA,7.54,7.519,7.418535,7.418535,7.383993
SXT,42.319,42.319,42.327,42.357693,42.357147
SCI,182.361,182.783,184.77974,178.14381,176.21901
SVC,164.364,164.565,164.562,164.566,164.5976
NOW,187.4618,188.6,189.8,190.70375,195.1
SFBS,53.536,53.592,53.714,53.84401,53.88236
SHAK,30.55821,33.751698,34.42226,38.173088,38.23702
SHEN,49.857,49.857,49.829,49.842,49.852173
SCVL,14.67184,14.193253,14.009059,14.090765,
SSTK,35.295,35.457,35.505,35.631027,36.21529
SBNY,55.09582,55.09582,55.09582,55.09582,55.09582
SIG,52.263,52.347,52.346,52.32284,
SLGN,111.176,110.768,110.78,110.8712,110.885826
SLAB,43.344,43.373,43.877,43.687286,43.795567
SFNC,96.6,113.96385,108.94752,108.969,109.01638
SPG,306.86096,306.86096,306.86096,305.74716,305.8872
SSD,44.675,44.327,44.366,43.46398,43.474747
SLP,17.623,17.643,17.768034,19.638239,
SITC,180.562,193.804,193.831,193.14925,193.19115
SIX,84.356,84.524,84.657,84.6865,84.76195
SKX,133.751,133.914,134.498,136.17377,136.3023
SKYW,50.919,50.421,50.257,50.14017,50.18135
SWKS,171.703,170.375,169.563,166.8359,167.03609
SLG,81.515,79.203,77.93549,73.675,73.04
SNBR,28.427,27.961,27.636,27.636,27.725
SLM,422.1689,422.169,375.08896,375.09647,375.23578
SM,112.857,112.857,112.988,112.989,114.45889
SGH,23.081,23.838396,23.993,23.993,24.159313
SNA,55.21,54.846,54.687,54.35424,54.46615
SEDG,47.97105,48.611,49.235,49.630558,50.11855
SAH,31.105,31.105,30.678,30.890394,30.58289
SON,100.077,100.098,100.338,100.329315,100.37649
SJI,92.39,92.393,92.448,92.46222,100.58791
SBSI,33.749,33.769,33.012,33.012,33.03332
LUV,537.517,526.2761,508.76874,589.38556,589.87213
SWX,54.324287,54.626,55.118,55.118,55.914516
SWN,541.317,541.297,541.058,541.6886,605.4912
SPTN,36.334,36.347,35.840916,35.680866,35.833252
SPPI,112.856,112.973,114.799,114.799,145.73355
SR,50.809,50.977,51.068,51.235146,51.482426
SRC,90.10818,99.73,102.52279,103.01885,103.043106
SPOK,19.229,18.854,18.945,19.023794,19.023794
SFM,118.113,118.139,117.544,117.786606,117.94445
SPSC,34.883,34.839,35.019,34.92777,35.12821
SPXC,44.034,44.145,44.227,44.55942,44.690258
FLOW,42.563,42.567,42.64,42.64755,42.42647
STMP,17.164,17.074,17.056,17.085035,17.575686
SMP,22.322,22.456,22.462,22.313194,22.34827
SXI,12.44,12.462,12.453,12.409429,12.380901
SWK,151.743,153.50641,154.02547,154.12709,159.68175
SBUX,1184.6,1181,1173.7,1168.1,1169
STT,363.6233,357.3894,354.342,351.9564,352.38324
STLD,219.61314,215.45216,212.679,210.33212,210.3648
SCL,22.557,22.505,22.537,22.472643,22.413778
SRCL,91.121,91.128,91.271,91.417046,91.48289
STE,84.687,84.783,84.813,84.9514,85.0531
STL,202.39288,198.45532,197.97108,194.45543,202.39288
SHOO,84.860214,84.097,83.799,83.15421,83.151405
STC,23.712,23.707,23.68,23.68291,26.727259
SF,69.58445,68.328026,68.6522,68.48519,68.558105
SNEX,19.164,19.111,19.302,19.21771,19.368298
STOR,234.80411,239.8229,244.15924,253.29836,261.34845
STRA,21.964504,21.964504,22.207394,22.214598,24.407915
SYK,373.105,374.4,374.828,374.828,375.6058
RGR,17.485,17.485,17.452,17.483154,17.495852
INN,105.127,105.165,105.174,105.60302,105.69654
